,2011-06-30,2011-09-30,2011-12-31,2012-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,200.000,200.000,200.000,200.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,0.000,
AdditionalPaidInCapitalCommonStock,428874.000,428874.000,428874.000,428874.000
Assets,215.000,215.000,215.000,215.000
AssetsCurrent,215.000,215.000,215.000,215.000
AssetsNoncurrent,,,0.000,
CashAndCashEquivalentsAtCarryingValue,215.000,215.000,215.000,215.000
CommonStockValue,51.000,51.000,51.000,51.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,495195.000,510494.000,522522.000,530811.000
DueToRelatedPartiesCurrent,0.000,0.000,0.000,
Liabilities,66485.000,81784.000,93812.000,102101.000
LiabilitiesAndStockholdersEquity,215.000,215.000,215.000,215.000
MachineryAndEquipmentGross,,,0.000,
OtherLiabilitiesCurrent,66285.000,81584.000,93612.000,101901.000
PropertyPlantAndEquipmentNet,,,0.000,
StockholdersEquity,-66270.000,-81569.000,-93597.000,-101886.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-66270.000,-81569.000,-93597.000,-101886.000
