,2013-12-31,2014-06-30,2014-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-168.000,,
ComprehensiveIncomeNetOfTax,,-3345182.000,-1161435.000
ConversionOfStockAmountConverted1,0.000,,
CostOfRevenue,354.000,,
CostsAndExpenses,,0.000,0.000
EarningsPerShareBasicAndDiluted,,-2.920,-0.050
ForeignCurrencyTransactionGainLossBeforeTax,0.000,31700.000,21439.000
GeneralAndAdministrativeExpense,14.000,1238560.000,75474.000
GrossProfit,26.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-168.000,,
IncomeTaxExpenseBenefit,0.000,,
IncomeTaxesPaid,0.000,,
IncreaseDecreaseInInventories,0.000,,
InterestExpense,,,144096.000
InterestIncomeOther,,,1255.000
InterestPaid,0.000,,
LegalFees,,394110.000,1101664.000
NetCashProvidedByUsedInFinancingActivities,0.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,,
NetCashProvidedByUsedInOperatingActivities,-168.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-168.000,,
NetIncomeLoss,-168.000,-3236689.000,-1390158.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,-1390158.000
NonoperatingIncomeExpense,0.000,31700.000,-121402.000
OperatingExpenses,194.000,3268389.000,1316686.000
OperatingIncomeLoss,-168.000,-3268389.000,-1268756.000
OperatingLeasesIncomeStatementLeaseRevenue,,,47930.000
OperatingLeasesRentExpenseNet,,5800.000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,-108493.000,228723.000
OtherComprehensiveIncomeLossNetOfTax,,-108493.000,1161435.000
ProceedsFromContributionsFromAffiliates,0.000,,
ProceedsFromIssuanceOfCommonStock,0.000,,
ProceedsFromOtherShortTermDebt,0.000,,
ProfessionalAndContractServicesExpense,,140000.000,140000.000
ProfessionalFees,180.000,1635719.000,139548.000
Revenues,380.000,,
SalesRevenueNet,380.000,,
VariableInterestEntityOwnershipPercentage,0.500,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,1107794.000,27008360.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,1107794.000,27008360.000
WeightedAverageNumberOfSharesOutstandingBasic,,1107794.000,27008360.000
