,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
PartnersCapitalAccountDistributions,,,19444000.000,,,,20957000.000,,,,21370000.000,,,,33208000.000,,,,33355000.000
PartnersCapitalAccountPublicSaleOfUnits,,,91377000.000,,,,,,,,5235000.000,,,,-145000.000,,,,
PartnersCapitalAccountTreasuryUnitsPurchases,,,,,,,,,,,277000.000,,,,,,,,
PartnersCapitalAccountUnitBasedCompensation,,,56000.000,,,,256000.000,,,,179000.000,,,,399000.000,,,,222000.000
PartnersCapitalAccountUnitsSoldInPrivatePlacement,,,,,,,,,,,,,89252.000,,0.000,,,,
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,,,-2475000.000,,,,0.000,,,,
PaymentsForRepurchaseOfCommonStock,,,0.000,,,,,,,,277000.000,,,,0.000,,,,330000.000
PaymentsOfDebtIssuanceCosts,,,,,,,8761000.000,,,,341000.000,,,,306000.000,,,,30000.000
PaymentsOfDistributionsToAffiliates,,,19444000.000,,,,20957000.000,,,,21370000.000,,,,33208000.000,,,,33355000.000
PaymentsOfStockIssuanceCosts,,,,,,,,,,,,,71000.000,,145000.000,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,0.000,,,,50801000.000,,,,0.000,,,,,,,,
PaymentsToAcquireEquityMethodInvestments,,,,,,,,,,,0.000,,,,,,,,
PaymentsToAcquireIntangibleAssets,,,,,,,,,,,,,,,,,,,2150000.000
PaymentsToAcquireProductiveAssets,,,,16177000.000,17393000.000,,14715000.000,13906000.000,39972000.000,30453000.000,21475000.000,19763000.000,17285000.000,30760000.000,17829000.000,14251000.000,12718000.000,23929000.000,15577000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,30082000.000,,,,14715000.000,,,,16642000.000,,,,12927000.000,,,,17298000.000
PriceRiskCashFlowHedgeGainOrLossReclassifiedToEarningsNet,,,,-499000.000,-63000.000,,0.000,0.000,0.000,0.000,,,,,,,,,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,,,,,,,,,,,,,,,,,3400000.000,,
ProceedsFromIssuanceOfCommonStock,,,91377000.000,,,,0.000,,,,5235000.000,11848000.000,3467000.000,571000.000,0.000,,,,
ProceedsFromIssuanceOfLongTermDebt,,,126000000.000,,,,418000000.000,,,,76000000.000,,,,32000000.000,,,,94200000.000
ProceedsFromPartnershipContribution,,,1951000.000,,,,37000.000,,,,114000.000,,,,55000.000,,,,0.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,95000.000,,,,3610000.000,,,,245000.000,,,,0.000,,,,113000.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,,11755000.000,10999000.000,,25051000.000,25666000.000,25826000.000,-27675000.000,9844000.000,6553000.000,9174000.000,10770000.000,15944000.000,5632000.000,,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,,,2828000.000,2764000.000,,4418000.000,4170000.000,4356000.000,4789000.000,,,,,5994000.000,,,,
RepaymentsOfLongTermDebt,,,146000000.000,,,,373000000.000,,,,91000000.000,,,,72000000.000,,,,86200000.000
RepaymentsOfLongTermDebtAndCapitalSecurities,,,6407000.000,,,,81000.000,,,,0.000,,,,,,,,
RevenueFromRelatedParties,,,,17098000.000,24146000.000,,25380000.000,25366000.000,24951000.000,25172000.000,,,,,28808000.000,,,,
Revenues,292303000.000,318029000.000,338290000.000,294806000.000,319880000.000,540490000.000,435409000.000,360394000.000,361979000.000,484499000.000,499251000.000,421450000.000,392895000.000,339413000.000,307907000.000,252897000.000,224435000.000,253973000.000,225689000.000
RevenuesFromTransactionsWithOtherOperatingSegmentsOfSameEntity,,,,1928000.000,-1968000.000,,-1723000.000,-2206000.000,,,,,,,,,,,
SalesRevenueGoodsNet,252652000.000,273305000.000,294312000.000,248193000.000,269009000.000,491154000.000,376814000.000,302270000.000,303442000.000,424492000.000,438780000.000,359587000.000,325022000.000,261734000.000,231343000.000,177649000.000,153256000.000,185770000.000,158757000.000
SalesRevenueNet,292205000.000,316309000.000,338286000.000,292878000.000,317912000.000,541285000.000,433686000.000,358188000.000,359616000.000,482020000.000,497028000.000,418945000.000,389985000.000,336183000.000,305353000.000,251099000.000,226021000.000,254371000.000,225605000.000
SellingGeneralAndAdministrativeExpense,5012000.000,6849000.000,5689000.000,4603000.000,4680000.000,10522000.000,7030000.000,6383000.000,7211000.000,8773000.000,8606000.000,8745000.000,10302000.000,8663000.000,8806000.000,9035000.000,8666000.000,10281000.000,8171000.000
ShareBasedCompensation,,,,62000.000,261000.000,,256000.000,,,,179000.000,,,,399000.000,,,,222000.000
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,,,,3000.000,568000.000,,0.000,,,,,,,,,,,,
TreasuryStockValueAcquiredCostMethod,,,,,,,,,,,,,,,,,,,330000.000
UnrealizedGainLossOnDerivatives,,,-10000.000,,,,,,,,,,,,,,,,
WeightedAverageLimitedPartnershipUnitsOutstanding,19158507.000,19158334.000,22576404000.000,23103000.000,23101233.000,-22599246682.000,26560654.000,26558028.000,26552028.000,-53112881.000,26571666.000,28923513.000,32242571.000,-56952715.000,35317197.000,35307638.000,35307583.000,,
WeightedAverageLimitedPartnershipUnitsOutstandingDiluted,19158901.000,19163128.000,22579908000.000,23104000.000,23105000.000,-22602752000.000,26569000.000,26579000.000,26579000.000,-53169000.000,26605000.000,28923513.000,32242571.000,-56986084.000,35360000.000,35376000.000,35308000.000,-70672000.000,35366000.000
WeightedAverageNumerDilutedLimitedPartnershipUnitsOutstandingAdjustment,,,,1562.000,3596.000,,8756.000,21284.000,26632.000,,33101.000,,,,42892.000,68499.000,,,11483.000
