,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-369000.000,,,,293000.000,,,,61000.000,,,,-85000.000,,
ConstructionInProgressExpendituresIncurredButNotYetPaid,,,,,,,15000.000,,,,,,,,,,
CostOfPropertyRepairsAndMaintenance,108000.000,,,,,,,,,,,,,,,,
DepreciationAndAmortization,139000.000,139000.000,131000.000,128000.000,128000.000,178000.000,129000.000,130000.000,147000.000,133000.000,168000.000,119000.000,126000.000,128000.000,123000.000,58000.000,
DepreciationDepletionAndAmortization,,,,,,,,,,,168000.000,,,,123000.000,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,16000.000,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,,,2682000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,,,-105000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,164000.000,170000.000,,,,-1000.000,,,,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,,,,,,,,,,,,,65000.000,98000.000
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,4000.000
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,,,,64000.000,-58000.000,-61000.000,,,,,,,,80000.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,,,195000.000,111000.000,32000.000,773000.000,10000.000,17000.000,1000.000,3000.000,,91000.000,244000.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,91000.000,222000.000,231000.000,,-10000.000,-17000.000,-1000.000,,,-91000.000,-25000.000
DisposalGroupIncludingDiscontinuedOperationOtherExpense,,,,,,,,-58000.000,-61000.000,,,,,,10000.000,,
DisposalGroupIncludingDiscontinuedOperationOtherIncome,,,,,,,,,,,,,,,,,2602000.000
DisposalGroupIncludingDiscontinuedOperationRentalIncome,,,,,,,286000.000,333000.000,263000.000,0.000,,,,,,,219000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,286000.000,333000.000,263000.000,0.000,,,,,,,219000.000
EquityMethodInvestmentOtherThanTemporaryImpairment,,0.000,,,,,,,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,-757000.000,-930000.000,,-509000.000,,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,4354000.000,4247000.000,,4689000.000,,,,,,,,,,
GainLossOnDispositionOfRealEstateDiscontinuedOperations,,,,,,,,,-576000.000,,,,,,,,
GeneralAndAdministrativeExpense,27000.000,16000.000,17000.000,25000.000,27000.000,24000.000,22000.000,15000.000,30000.000,12000.000,8000.000,32000.000,16000.000,16000.000,5000.000,32000.000,11000.000
ImpairmentOfRealEstate,,,,,,,0.000,,,,,,,,,,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,,,,,,-496000.000,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,-387000.000,1230000.000,,-581000.000,-378000.000,1528000.000,-2419000.000,-300000.000,-231000.000,-61000.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,-194.670,618.710,,-292.250,-190.140,768.610,-1216.800,-150.910,-116.200,-30.680
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,25000.000,164000.000,-406000.000,-12000.000,-10000.000,-17000.000,-1000.000,-3000.000,-1000.000,-91000.000,2577000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitBasic,,,,,,,,82.490,-204.230,,-5.030,-8.550,-0.500,-1.520,-0.500,-45.770,1296.280
IncomeLossFromEquityMethodInvestments,-366000.000,-312000.000,-238000.000,-314000.000,-324000.000,-187000.000,-200000.000,-115000.000,1565000.000,109000.000,-152000.000,-83000.000,1857000.000,-75000.000,-5000.000,34000.000,141000.000
IncomeLossFromOperationsBeforeExtraordinaryItemsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,-13.580,,,,,,,,,
IncomeTaxExpenseBenefit,,2000.000,2000.000,-5000.000,8000.000,2000.000,2000.000,-2000.000,-6000.000,0.000,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,-73000.000,,,,-306000.000,,
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,,-402000.000,,,,-149000.000,,,,,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,211000.000,,,,23000.000,,,,144000.000,,,,135000.000,,
IncreaseDecreaseInAccountsReceivable,,,-103000.000,,,,132000.000,,,,,,,,,,
IncreaseDecreaseInAccountsReceivableRelatedParties,,,10000.000,,,,217000.000,,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,61000.000,,,,87000.000,,,,71000.000,,,,31000.000,,
