,2012-03-31
EarningsPerShareBasicAndDiluted,-0.720
GeneralAndAdministrativeExpense,660.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-35913.000
IncreaseDecreaseInAccountsPayable,35913.000
NetCashProvidedByUsedInInvestingActivities,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000
NetIncomeLoss,-35913.000
OperatingExpenses,35913.000
OperatingIncomeLoss,-35913.000
PaymentsToAcquirePropertyPlantAndEquipment,0.000
ProceedsFromSaleOfPropertyPlantAndEquipment,0.000
ProfessionalFees,35253.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,49896.000
