,2011-07-31,2011-10-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-112.000,-74.000
EffectOfExchangeRateOnCashAndCashEquivalents,110.000,-155.000
GeneralAndAdministrativeExpense,2086.000,3530.000
IncomeLossFromContinuingOperations,-2086.000,-3530.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-2086.000,-3530.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,0.000
IncreaseDecreaseInAccountsAndOtherReceivables,1252.000,1187.000
NetCashProvidedByUsedInFinancingActivities,612.000,2424.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,612.000,2424.000
NetCashProvidedByUsedInOperatingActivities,-834.000,-2343.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-834.000,-2343.000
NetIncomeLoss,-2086.000,-3530.000
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,110.000,-155.000
OtherComprehensiveIncomeLossTax,-1976.000,-3685.000
PaymentsToMinorityShareholders,612.000,2424.000
WeightedAverageNumberOfSharesOutstandingBasic,8700000.000,8700000.000
