,2011-07-31,2012-01-31,2012-04-30,2013-01-31,2013-04-30,2013-07-31,2014-01-31,2014-04-30,2014-07-31,2015-01-31,2015-04-30,2015-07-31
AssetRetirementObligationAccretionExpense,,,,827.000,,,949.000,,,1047.000,,
AssetRetirementObligationLiabilitiesIncurred,,,,0.000,,,0.000,,,142.000,,
AssetRetirementObligationRevisionOfEstimate,,,,0.000,,,-177.000,,,227.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,150246.000,,-115313.000,,,235618.000,,,-52269.000,,
ComprehensiveIncomeNetOfTax,,,,-195805.000,-80019.000,-192954.000,-87583.000,65275.000,-190192.000,-707079.000,-293503.000,95550.000
CostsAndExpenses,341111.000,233765.000,245882.000,204378.000,194398.000,184298.000,169118.000,130636.000,134098.000,738617.000,145652.000,26816.000
CostsIncurredAssetRetirementObligationIncurred,,-790.000,,827.000,,,949.000,,,,,
Depletion,,,,25188.000,,,34946.000,,,12747.000,,
DepletionOfOilAndGasProperties,79388.000,55904.000,50181.000,26015.000,39894.000,40535.000,36088.000,9081.000,7023.000,13987.000,5259.000,6265.000
EarningsPerShareBasic,-0.002,0.000,-0.004,-0.010,-0.010,-0.010,-0.000,-0.000,-0.010,-0.030,-0.010,0.000
EarningsPerShareDiluted,-0.002,0.000,-0.004,-0.010,-0.010,-0.010,-0.000,-0.000,-0.010,-0.030,-0.010,0.000
EntityWideRevenueMajorCustomerAmount,,,,59418.000,,,,,,,,
EntityWideRevenueMajorCustomerPercentage,,,,0.920,,,,,,,,
ExplorationAndProductionCosts,40385.000,22985.000,30190.000,13905.000,5345.000,9482.000,11410.000,8692.000,10466.000,8494.000,6554.000,4913.000
GeneralAndAdministrativeExpense,221338.000,154876.000,165511.000,162419.000,149159.000,134281.000,118519.000,112863.000,116609.000,119933.000,133839.000,15638.000
ImpairmentOfOilAndGasProperties,,,,,0.000,0.000,0.000,0.000,0.000,596203.000,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-49234.000,-25386.000,-87692.000,,,,,,,,,
IncomeTaxExpenseBenefit,2428.000,0.000,0.000,,,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,,0.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,11874.000,,10173.000,,,-43718.000,,,48527.000,,
IncreaseDecreaseInAccountsReceivable,,10672.000,,5295.000,,,14547.000,,,-1604.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-6549.000,,-6229.000,,,175.000,,,-22006.000,,
InterestPaid,,,,,,,,,,0.000,,
InvestmentIncomeInterest,350.000,350.000,-540.000,197.000,197.000,202.000,50.000,79.000,50.000,0.000,0.000,0.000
MarketableSecuritiesRealizedGainLoss,,,,,,,,,-10664.000,,-150378.000,0.000
MarketableSecuritiesUnrealizedGainLoss,,,,-56000.000,,,2080.000,,,24717.000,,
MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments,,,,-56000.000,56000.000,-56000.000,-2080.000,174880.000,-62206.000,,,
NetCashProvidedByUsedInFinancingActivities,,0.000,,0.000,,,0.000,,,0.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,0.000,,0.000,,,0.000,,,0.000,,
NetCashProvidedByUsedInInvestingActivities,,111977.000,,-14669.000,,,340372.000,,,-2800.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,111977.000,,-14669.000,,,340372.000,,,-2800.000,,
NetCashProvidedByUsedInOperatingActivities,,38269.000,,-100644.000,,,-104754.000,,,-49469.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,38269.000,,-100644.000,,,-104754.000,,,-49469.000,,
NetIncomeLoss,-51662.000,-25386.000,-187692.000,-139805.000,-136019.000,-136954.000,-85503.000,-109605.000,-127986.000,-731796.000,-293503.000,95550.000
OilAndGasRevenue,291527.000,188029.000,158730.000,64376.000,58182.000,47142.000,83565.000,20952.000,16726.000,6821.000,2527.000,5366.000
OperatingIncomeLoss,-49584.000,-45736.000,-87152.000,-140002.000,-136216.000,-137156.000,-85553.000,-109684.000,-117372.000,-731796.000,-143125.000,-21450.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,-100000.000,,,,,,,24717.000,0.000,0.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,,16000.000,,,,,,,,,,
OtherNonoperatingIncome,,20000.000,0.000,0.000,0.000,0.000,,,,,,
PaymentsForProceedsFromDepositOnLoan,,,,,,,-100000.000,,,0.000,,
PaymentsToAcquireOilAndGasProperty,,88023.000,,14669.000,,,34776.000,,,2800.000,,
PaymentsToAcquireShortTermInvestments,,0.000,,,,,,,,,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,,,,,,,52923.000,0.000,,
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,,200000.000,,0.000,,,275148.000,,,0.000,,
ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,,,,,,,36088.000,,,13794.000,,
ResultsOfOperationsIncomeBeforeIncomeTaxes,,,,,,,36067.000,,,-15467.000,,
ResultsOfOperationsProductionOrLiftingCosts,,,,,,,11410.000,,,8494.000,,
ResultsOfOperationsRevenueFromOilAndGasProducingActivities,,,,24456.000,,,83565.000,,,6821.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000
WeightedAverageNumberOfSharesOutstandingBasic,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000,24629832.000
