,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccretionExpense,,,,,,,710000.000,,
AllocatedShareBasedCompensationExpense,3600000.000,500000.000,700000.000,700000.000,800000.000,,,,
AmortizationOfDebtDiscountPremium,,,664000.000,,,,82000.000,,
AmortizationOfFinancingCosts,,,1034000.000,,,,1264000.000,1000000.000,1100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,716675.000,749678.000,1086140.000,1111501.000,1165699.000,-2231362.000,1158851.000,1286979.000,1312663.000
AssetManagementFees1,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,,,
BusinessCombinationAcquisitionRelatedCosts,1674000.000,301000.000,67000.000,14000.000,98000.000,758000.000,57000.000,28000.000,0.000
CapitalExpendituresIncurredButNotYetPaid,,,1607000.000,,,,1667000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,26561000.000,,,,1874000.000,,
CommonStockDividendsPerShareDeclared,,,,,,,,0.100,0.100
ComprehensiveIncomeNetOfTax,,,-7669000.000,-7609000.000,-9229000.000,-12568000.000,-10945000.000,-9327000.000,-12093000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-125000.000,-133000.000,-165000.000,-231000.000,-208000.000,-189000.000,-262000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-7794000.000,-7742000.000,-9394000.000,-12799000.000,-11153000.000,-9516000.000,-12355000.000
DepreciationAndAmortization,4638000.000,6589000.000,9464000.000,10920000.000,12576000.000,14338000.000,15145000.000,15748000.000,16171000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,1503000.000,2489000.000,4146000.000,4933000.000,5258000.000,7148000.000,6207000.000,7504000.000,9548000.000
EarningsPerShareBasicAndDiluted,-0.310,-0.140,-0.240,-0.240,-0.280,-0.390,-0.340,-0.290,-0.380
GainLossOnDispositionOfAssets1,,,,,,,40000.000,,
GeneralAndAdministrativeExpense,6676000.000,3105000.000,3720000.000,3498000.000,4056000.000,3749000.000,4220000.000,4282000.000,4839000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-8157000.000,-4638000.000,-7744000.000,-7646000.000,-9243000.000,-12842000.000,-11120000.000,-9509000.000,-12372000.000
IncomeLossFromEquityMethodInvestments,-30000.000,50000.000,-50000.000,-96000.000,-84000.000,72000.000,10000.000,,0.000
IncomeTaxExpenseBenefit,,,,,,,0.000,,
IncreaseDecreaseInAccountsAndNotesReceivable,,,750000.000,,,,465000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,1388000.000,,,,-2753000.000,,
IncreaseDecreaseInDeferredLeasingFees,,,1778000.000,,,,1883000.000,,
IncreaseDecreaseInDueFromRelatedPartiesCurrent,,,-38000.000,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,-3627000.000,,,,-328000.000,,
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,,,,,3908000.000,,
InterestExpense,682000.000,1204000.000,4230000.000,4869000.000,5961000.000,7604000.000,7316000.000,7636000.000,7725000.000
InterestPaid,,,1301000.000,,,,,,
InterestPaidNet,,,,,,,4204000.000,,
NetCashProvidedByUsedInFinancingActivities,,,133835000.000,,,,37672000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,133835000.000,,,,37672000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-114362000.000,,,,-34506000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-114362000.000,,,,-34506000.000,,
NetCashProvidedByUsedInOperatingActivities,,,7088000.000,,,,-1292000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,7088000.000,,,,-1292000.000,,
NetIncomeLossAttributableToNoncontrollingInterest,-116000.000,-73000.000,-125000.000,-133000.000,-165000.000,-231000.000,-208000.000,-189000.000,-262000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-8071000.000,-4515000.000,-7669000.000,-7609000.000,-9162000.000,-12539000.000,-10902000.000,-9320000.000,-12110000.000
OperatingExpenses,,,,28400000.000,32728000.000,,38612000.000,41559000.000,44339000.000
OperatingIncomeLoss,-16565000.000,-15707000.000,-25198000.000,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,-43000.000,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,,-67000.000,,-43000.000,-7000.000,17000.000
PaymentsForCapitalImprovements,,,8272000.000,,,,12568000.000,,
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,,,4327000.000,,,,-2557000.000,,
PaymentsOfFinancingCosts,,,165000.000,,,,1328000.000,,
PaymentsOfStockIssuanceCosts,,,0.000,,,,,,
PaymentsToAcquireAndDevelopRealEstate,,,108619000.000,,,,26646000.000,,
PaymentsToAcquireLoansReceivable,,,5407000.000,,,,1154000.000,,
ProceedsFromCollectionOfLoansReceivable,,,12263000.000,,,,2793000.000,,
ProceedsFromIssuanceOfCommonStock,,,0.000,,,,,,
ProceedsFromLongTermLinesOfCredit,,,144000000.000,,,,39000000.000,,
ProceedsFromSaleOfRealEstateHeldforinvestment,,,,,,,248000.000,,
ProfitLoss,-8187000.000,-4588000.000,-7794000.000,-7742000.000,-9327000.000,-12770000.000,-11110000.000,-9509000.000,-12372000.000
ProvisionForDoubtfulAccounts,271000.000,753000.000,545000.000,621000.000,576000.000,772000.000,522000.000,612000.000,715000.000
RealEstateRevenueNet,8408000.000,11069000.000,17454000.000,20754000.000,23485000.000,25171000.000,27492000.000,32050000.000,31967000.000
RealEstateTaxExpense,1027000.000,1791000.000,3111000.000,3661000.000,4239000.000,3776000.000,5009000.000,5598000.000,5334000.000
RepaymentsOfLongTermLinesOfCredit,,,10000000.000,,,,,,
RevenueFromRelatedParties,110000.000,113000.000,113000.000,108000.000,100000.000,72000.000,68000.000,39000.000,0.000
ShareBasedCompensation,,,667000.000,,,,696000.000,,
StockIssuedDuringPeriodValueShareBasedCompensation,,,667000.000,,,,696000.000,,
StraightLineRent,,,67000.000,,,,-120000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,25651231.000,32124857.000,32130733.000,32135439.000,32153307.000,-64275545.000,32160983.000,32163741.000,32168878.000
