,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,6191.000,,,,690.000,,,,-1013.000,,,,2612.000,,,,4691.000
CostOfGoodsSold,,,0.000,0.000,0.000,111728.000,0.000,0.000,0.000,0.000,0.000,20000.000,0.000,9000.000,11000.000,52900.000,0.000,0.000,
CostOfRevenue,,,,,,,,,,,,,,,,,,,0.000
DebtConversionOriginalDebtAmount1,,0.000,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,,,-0.000,-0.000,-0.000,0.000,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,-0.000,,,,,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.010,-0.000
GainLossOnInvestments,-0.000,0.000,,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,8162.000,3420.000,6383.000,5346.000,3345.000,2939.000,7263.000,3836.000,3822.000,3176.000,7085.000,3757.000,3015.000,4014.000,7717.000,6396.000,4493.000,3818.000,6122.000
GrossProfit,,,0.000,0.000,3000.000,28785.000,0.000,17000.000,0.000,0.000,0.000,20000.000,0.000,-9000.000,4000.000,15350.000,0.000,0.000,0.000
IncomeLossFromContinuingOperations,-8162.000,-3420.000,-6383.000,-5346.000,-345.000,25846.000,-7263.000,13164.000,-3822.000,-3176.000,-7085.000,16243.000,-3015.000,-13014.000,-3717.000,8954.000,-4493.000,-3818.000,-6122.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,11479.000,-5525.000,,,14295.000,-5067.000,,,6919.000,-6551.000,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.000,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,,,,,,,,1136.000,-913.000,,,1785.000,-604.000,,,0.000,0.000,,
IncomeTaxesPaid,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000
IncreaseDecreaseInAccountsPayable,,,-2312.000,,,,6959.000,,,,6071.000,,,,6296.000,,,,5813.000
