,2011-07-31,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDeferredCharges,,,,,,,,,,,,,,,2750.000,,,,
AmortizationOfFinancingCosts,,,,,163449.000,,,,163449.000,,,,2750.000,,,,,,
AssetsDisposedOfByMethodOtherThanSaleInPeriodOfDispositionGainLossOnDisposition1,,,,,,,,,,,,,,,,-164850.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-382204.000,,-110458.000,,,,-9577.000,,,,31.000,,-735.000,,,,30960.000
DerivativeGainLossOnDerivativeNet,,,,,,691230.000,663178.000,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,792809.000,996618.000,524821.000,,,,180525.000,74486.000,45139.000,450.000,-92.000,106.000,,,,,
EarningsPerShareBasic,,,,0.010,,,-0.070,,,,,,,,,0.030,,,
EarningsPerShareBasicAndDiluted,,-0.010,-0.000,,-0.030,-0.010,,,-0.010,-0.040,-0.010,0.000,-0.000,-0.000,0.000,0.030,0.030,,0.000
EarningsPerShareDiluted,,,,0.010,,,-0.070,,,,,,,,,0.030,,,
ExplorationCosts,,,327202.000,132624.000,446242.000,42938.000,714997.000,-338703.000,82904.000,208420.000,45444.000,1420.000,,,,,,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,,,0.871,,,,,,
GainsLossesOnExtinguishmentOfDebt,0.000,-28499.000,,,,-6845.000,-6845.000,,15500.000,,,,,,,2523813.000,,,
GeneralAndAdministrativeExpense,6014.000,162517.000,273332.000,228910.000,329083.000,296907.000,797423.000,-452275.000,145012.000,127034.000,106050.000,78644.000,167315.000,95954.000,34507.000,56586.000,311991.000,95632.000,276411.000
GrossProfit,0.000,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-6014.000,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,0.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,-29285.000,,14677.000,,,,-37540.000,,,,11994.000,,-10031.000,,,,11430.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,,,,,77390.000,,,,,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,,,,,,,6876.000,,,,,,
IncreaseDecreaseInDeposits,,,143187.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInDerivativeLiabilities,,,-792809.000,,-524821.000,,,,-180525.000,,,,92.000,,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,,,,,,,,46154.000,,6876.000,,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,88684.000,,,,56602.000
IncreaseDecreaseInOtherCurrentLiabilities,,,,,,,,,,,,,,,-25218.000,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,-1946.000,,809.000,,,,634.000,,,,-84.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,,33290.000,,6043.000,,,,7437.000,,,,,,,,,,
InterestAndFeeIncomeLoansAndLeases,,,,,163000.000,,,,163000.000,,,,,,,,,,
InterestExpense,,-6539.000,,,-175712.000,-189107.000,-561019.000,163101.000,-212845.000,-218309.000,-227659.000,-177739.000,-55779.000,-57272.000,,67405.000,8066.000,,10661.000
InterestIncomeExpenseNet,,,,,,,,,,,,,,,-80222.000,,,,
InterestPaid,,,,,12263.000,,,,49396.000,,,,,,,,,,
InterestPaidCapitalized,,,,,,,,,,,,,,,60933.000,,,,
MarketingExpense,,23464.000,259608.000,215510.000,694665.000,486746.000,1368729.000,-1179885.000,2796.000,1398.000,2097.000,699.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,1009046.000,,,,300000.000,,,,,,,,,,50000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,1009046.000,,,,300000.000,,,,,,,,,,50000.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,,,-10000.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,,,-10000.000,,,,
NetCashProvidedByUsedInOperatingActivities,,,-382204.000,,-1119504.000,,,,-309577.000,,,,31.000,,9265.000,,,,-19040.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-382204.000,,-1119504.000,,,,-309577.000,,,,31.000,,9265.000,,,,-19040.000
