,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,,,,,,,,,,,,180993000.000,179773000.000,221795000.000,214150000.000,223223000.000,152731000.000,136444000.000
AccountsPayableOtherCurrent,,,,,,,,11600000.000,,,,,,,,,,,,,,,,,,
AccountsPayableTradeCurrent,,20343000.000,17688000.000,25744000.000,27520000.000,40461000.000,85992000.000,24633000.000,35999000.000,23423000.000,19131000.000,39589000.000,30219000.000,28640000.000,27011000.000,29104000.000,51015000.000,45376000.000,57598000.000,64606000.000,103754000.000,90914000.000,101101000.000,123285000.000,186882000.000,198496000.000
AccountsReceivableBilledForLongTermContractsOrPrograms,,,,,,,,400000.000,,,,400000.000,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,28104000.000,26838000.000,22197000.000,19978000.000,19674000.000,21359000.000,38354000.000,28507000.000,76943000.000,75788000.000,84060000.000,100621000.000,109014000.000,126345000.000,98114000.000,144218000.000,172663000.000,150538000.000,131221000.000,130731000.000,177507000.000,184331000.000,192808000.000,152654000.000,136398000.000
AccrualForEnvironmentalLossContingencies,,,,,,,,,,,,,,,,,,,,2600000.000,,,,2200000.000,,
AccrualForTaxesOtherThanIncomeTaxesCurrent,9939000.000,7806000.000,12212000.000,7882000.000,12485000.000,9717000.000,15021000.000,11949000.000,17727000.000,11805000.000,18472000.000,13860000.000,16987000.000,14539000.000,21083000.000,14812000.000,19725000.000,18098000.000,26416000.000,17808000.000,27876000.000,20633000.000,31120000.000,23121000.000,35185000.000,22059000.000
AccruedEnvironmentalLossContingenciesCurrent,,,,1500000.000,,,,799000.000,712000.000,649000.000,609000.000,562000.000,562000.000,562000.000,562000.000,475000.000,475000.000,475000.000,475000.000,1136000.000,1136000.000,1136000.000,1136000.000,630000.000,630000.000,630000.000
AccruedEnvironmentalLossContingenciesNoncurrent,,,,1400000.000,,,,1900000.000,,,,1900000.000,,,,1500000.000,,,,,,,,,,
AccruedLiabilitiesCurrent,,30144000.000,51410000.000,36973000.000,81755000.000,107635000.000,108883000.000,120124000.000,147460000.000,110420000.000,140166000.000,137011000.000,124893000.000,133069000.000,152878000.000,158655000.000,171609000.000,149589000.000,138812000.000,116818000.000,127837000.000,130018000.000,122164000.000,168899000.000,57996000.000,56840000.000
