,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
ClearanceFees,,,,,,,,,,,,,,,,,,,6.000,7.000,,7.000
ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,,,,,,36746977.000,,,,20986779.000,,,,17283089.000,,,,25125523.000,,,,14419436.000
CustodyFees,41159.000,38616.000,34006.000,28293.000,26376.000,24701.000,23553.000,19909.000,17532.000,18610.000,13997.000,14743.000,13876.000,13339.000,14036.000,11792.000,11186.000,9563.000,10037.000,10163.000,10570.000,10918.000
FloorBrokerage,,,,,,,,,,,,,,,,,,,3211829.000,3407487.000,,3250325.000
FloorBrokerageExchangeAndClearanceFees,,,,,,,,,,,,,,,,,,,3211835.000,3407494.000,,3250332.000
ForeignCurrencyTransactionGainLossRealized,162169.000,85659.000,157012.000,-196650.000,-13796.000,-204052.000,-192361.000,15792.000,100661.000,-83333.000,37472.000,117731.000,0.000,-261047.000,-93107.000,-243895.000,17149.000,-26737.000,116444.000,-31579.000,-358287.000,-41627.000
ForeignCurrencyTransactionGainLossUnrealized,-255785.000,48872.000,2541.000,60851.000,-76646.000,-22656.000,26668.000,84702.000,-64103.000,2579.000,-10883.000,-151755.000,-93260.000,196455.000,-13831.000,34285.000,-50653.000,182397.000,-189057.000,119152.000,-179871.000,184931.000
GainLossOnInvestments,,,,,,,,,,,,,,,,,,,15259938.000,3740409.000,,10184874.000
GainLossOnSaleOfDerivatives,,,,,,,,,,,,,,,,,,,12476395.000,7649905.000,,11273121.000
GainLossOnSaleOfSecuritiesNet,,,,,,,,,,,,,,,,,,,,-1299.000,,
GeneralAndAdministrativeExpense,556114.000,532057.000,508867.000,489012.000,438787.000,437257.000,426052.000,392305.000,436500.000,366989.000,357355.000,353645.000,161841.000,307064.000,303450.000,295862.000,233632.000,290356.000,292270.000,321252.000,288694.000,298537.000
InvestmentIncomeInterest,448040.000,266834.000,212487.000,176744.000,214759.000,208311.000,191115.000,135346.000,106224.000,79602.000,73713.000,71375.000,64642.000,72812.000,110796.000,129442.000,164034.000,168211.000,194382.000,268884.000,310094.000,333145.000
NetIncomeLoss,-5731276.000,-55738975.000,-3065049.000,-3719917.000,-1282232.000,7296429.000,,,,1947427.000,,,,13184460.000,-19954212.000,10413447.000,2065789.000,17820985.000,11741522.000,306050.000,-8935981.000,6819191.000
OperatingExpenses,14335180.000,12008990.000,10716307.000,9603855.000,8370444.000,7832427.000,7065270.000,5994410.000,5408251.000,4656137.000,4397532.000,4186441.000,3814763.000,3892004.000,3602485.000,3510002.000,3319919.000,3514710.000,3431214.000,3657635.000,3501389.000,3499090.000
OperatingIncomeLoss,,,,,,,,,,,,,,,,,,,-3236832.000,-3388751.000,,-3165945.000
PartnersCapitalAccountContributions,,,,,,,,,,,,,,,,,,,,,,5860516.000
PartnersCapitalAccountRedemptions,,,,,,,,,,,,,,,,,,,,,,10757223.000
ProfessionalFees,,,,,,,,,,,,,,,,,,,110522.000,119515.000,,131123.000
SellingGeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,3708376.000,3624664.000,3858424.000,3691146.000,3690910.000
TradingActivityGainsAndLossesNet,,,7156751.000,5763288.000,,15120101.000,-35773455.000,-1835648.000,8553192.000,6599184.000,23638112.000,8293976.000,10338363.000,17275966.000,,,,,,,,
TradingGainsLosses,,,,,,,,,,,,,,,-16616176.000,14111644.000,,21205664.000,15255338.000,3717380.000,-5223328.000,10115512.000
UnrealizedGainLossOnDerivatives,-18793138.000,-18239492.000,-6775119.000,4264446.000,13903624.000,-3000117.000,2752889.000,-5742282.000,8156620.000,-3553078.000,3923241.000,-5448615.000,-329718.000,2761468.000,-4109646.000,1457714.000,2260814.000,2151321.000,,,,
UnrealizedGainLossOnDerivativesAndCommodityContracts,,,,,,,,,,,,,,,,,,,2778943.000,-3932525.000,,-1157609.000
UnrealizedGainLossOnSecurities,,,,,,,,,,,,,,,,,,,77213.000,-63245.000,,-73942.000
