,2011-03-31,2011-06-30,2011-09-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,22400000.000,,
AmortizationOfFinancingCosts,2900000.000,,
AmortizationOfIntangibleAssets,9700000.000,9900000.000,9900000.000
BusinessCombinationAcquisitionRelatedCosts,,,22500000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-9400000.000,,
CommonStockDividendsPerShareDeclared,0.035,0.035,0.035
ComprehensiveIncomeNetOfTax,,89900000.000,-36300000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,1300000.000,100000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,91200000.000,-36200000.000
CostOfGoodsAndServicesSold,617700000.000,692900000.000,730600000.000
CostsAndExpenses,814500000.000,1055300000.000,1076700000.000
Depreciation,32300000.000,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,136000000.000,,
EarningsPerShareBasic,0.850,0.420,0.550
EarningsPerShareDiluted,0.840,0.420,0.550
EffectOfExchangeRateOnCashAndCashEquivalents,5900000.000,,
EffectiveIncomeTaxRateContinuingOperations,,0.201,0.350
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.350
ForeignCurrencyTransactionGainLossBeforeTax,,1000000.000,-5200000.000
GainLossOnDispositionOfAssets,,,8100000.000
GainsLossesOnExtinguishmentOfDebt,-2800000.000,,
GeneralAndAdministrativeExpense,,63200000.000,63200000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,74200000.000,121000000.000
IncomeLossFromEquityMethodInvestments,,1600000.000,-300000.000
IncomeTaxExpenseBenefit,72300000.000,14900000.000,42300000.000
IncreaseDecreaseInOperatingCapital,80800000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,1200000.000,1600000.000
InterestExpense,48300000.000,47200000.000,47400000.000
InvestmentIncomeInterest,200000.000,800000.000,100000.000
NetCashProvidedByUsedInFinancingActivities,-150200000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-150200000.000,,
NetCashProvidedByUsedInInvestingActivities,161200000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,161200000.000,,
NetCashProvidedByUsedInOperatingActivities,-26300000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-26300000.000,,
NetIncomeLoss,117400000.000,58400000.000,76700000.000
NetIncomeLossAttributableToNoncontrollingInterest,3000000.000,900000.000,2000000.000
OperatingIncomeLoss,246900000.000,120300000.000,174300000.000
OtherComprehensiveIncomeAmortizationOfDefinedBenefitPlanNetPriorServiceCostCreditRecognizedInNetPeriodicBenefitCostBeforeTax,,-800000.000,-900000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,29100000.000,-115100000.000
OtherNonoperatingIncomeExpense,-6100000.000,300000.000,-6000000.000
PaymentsForMergerRelatedCosts,,,4600000.000
PaymentsForProceedsFromOtherInvestingActivities,-5600000.000,,
PaymentsOfDividends,4900000.000,,
PaymentsOfFinancingCosts,1200000.000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,6400000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,36500000.000,,
ProceedsFromDivestitureOfBusinesses,198500000.000,,
ProceedsFromIssuanceOfLongTermDebt,63800000.000,,
ProceedsFromPaymentsForOtherFinancingActivities,-3500000.000,,
ProceedsFromRepaymentsOfShortTermDebt,1100000.000,,
ProfitLoss,120400000.000,59300000.000,78700000.000
RepaymentsOfLongTermDebt,202500000.000,,
RestructuringCharges,1000000.000,11000000.000,-7100000.000
Revenues,1061400000.000,1175600000.000,1251000000.000
SalesRevenueNet,1061400000.000,1175600000.000,1251000000.000
TranslationAdjustmentForNetInvestmentHedgeIncreaseDecreaseGrossOfTax,,-5700000.000,19600000.000
TranslationAdjustmentForNetInvestmentHedgeNetOfTaxPeriodIncreaseDecrease,,-3600000.000,12300000.000
TranslationAdjustmentForNetInvestmentHedgeTaxBenefitExpense,,2100000.000,-7300000.000
ValuationAllowancesAndReservesDeductions,,-29500000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,139900000.000,140000000.000,140400000.000
WeightedAverageNumberOfSharesOutstandingBasic,138700000.000,138800000.000,138800000.000
