,2011-07-29,2011-11-28,2012-02-02,2012-05-03,2012-07-30,2012-11-27,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsPayableCurrent,,182594000.000,,,,258741000.000,266740000.000,256035000.000,308987000.000,324057000.000,337455000.000,373889000.000,358430000.000,417388000.000,365778000.000
AccountsReceivableGross,,218442000.000,,,,291668000.000,295791000.000,306185000.000,312776000.000,,,,,,
AccountsReceivableGrossCurrent,,,,,,,,,,309906000.000,358959000.000,390889000.000,388172000.000,401936000.000,378578000.000
AccountsReceivableNetCurrent,,,,,,,,,,307445000.000,353851000.000,387034000.000,384987000.000,398990000.000,375687000.000
AccruedLiabilitiesCurrent,,16385000.000,,,,19952000.000,26367000.000,18048000.000,20070000.000,21816000.000,32641000.000,19644000.000,30131000.000,28792000.000,36148000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,18987000.000,,,,23712000.000,25201000.000,26256000.000,27963000.000,29891000.000,31624000.000,33475000.000,35499000.000,37116000.000,37982000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,,,,-66000.000,,,,-385000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,,,1984000.000,,,,1692000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-563000.000,,,,1542000.000,1524000.000,-1974000.000,-1839000.000,1918000.000,3304000.000,3944000.000,5531000.000,1307000.000,-2929000.000
AdditionalPaidInCapitalCommonStock,,133759000.000,,,,144667000.000,145690000.000,147461000.000,148325000.000,148459000.000,149760000.000,151897000.000,153121000.000,153159000.000,154858000.000
AllowanceForDoubtfulAccountsReceivable,,2581000.000,,,,2746000.000,3076000.000,2630000.000,2473000.000,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,2461000.000,5108000.000,3855000.000,3185000.000,2946000.000,2891000.000
Assets,,504219000.000,,,,696383000.000,733545000.000,738943000.000,760189000.000,802555000.000,938914000.000,984874000.000,945315000.000,1041916000.000,1006072000.000
AssetsCurrent,,398283000.000,,,,552485000.000,574740000.000,582099000.000,603282000.000,642822000.000,766420000.000,812049000.000,769612000.000,843170000.000,806348000.000
