,2011-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-6268233.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,-250329.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,2241702.000
ComprehensiveIncomeNetOfTax,-6004973.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-6004973.000
CostOfRevenue,6007838.000
DeferredIncomeTaxExpenseBenefit,-29020.000
DepreciationAndAmortization,359422.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,-3310262.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,-989224.000
EarningsPerShareBasicAndDiluted,-0.240
EffectOfExchangeRateOnCashAndCashEquivalents,209951.000
GainOrLossOnSaleOfStockInSubsidiary,-4299486.000
GeneralAndAdministrativeExpense,8936619.000
GoodwillImpairmentLoss,391669.000
GrossProfit,6856263.000
IncomeLossFromContinuingOperations,-2461970.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-2422314.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.090
IncomeLossFromDiscontinuedOperationsNetOfTax,-4299486.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.150
IncomeLossFromEquityMethodInvestments,-66810.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,-66810.000
IncomeTaxExpenseBenefit,39656.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,705075.000
IncreaseDecreaseInAccountsReceivable,-363918.000
IncreaseDecreaseInAccruedTaxesPayable,-97033.000
IncreaseDecreaseInDeferredRevenue,331833.000
IncreaseDecreaseInOtherAccountsPayable,378374.000
IncreaseDecreaseInOtherReceivables,4211815.000
IncreaseDecreaseInPrepaidExpense,1745.000
InterestPaid,70643.000
InvestmentIncomeInterest,14091.000
NetCashProvidedByUsedInInvestingActivities,-3774026.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3523697.000
NetCashProvidedByUsedInOperatingActivities,-2704158.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-4945860.000
NetIncomeLoss,-6761456.000
NonoperatingIncomeExpense,49711.000
OperatingExpenses,9328288.000
OperatingIncomeLoss,-2472025.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,756483.000
OtherNonoperatingIncome,243.000
PaymentsForAdvanceToAffiliate,5272541.000
PaymentsToAcquireHeldToMaturitySecurities,309866.000
PaymentsToAcquireIntangibleAssets,70649.000
PaymentsToAcquireOtherPropertyPlantAndEquipment,2998513.000
PaymentsToAcquirePropertyPlantAndEquipment,144669.000
ProfitLoss,-6761456.000
ProvisionForDoubtfulAccounts,231677.000
Revenues,12864101.000
SalesRevenueNet,12864101.000
WeightedAverageNumberOfDilutedSharesOutstanding,28686002.000
