,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2014-06-30,2015-03-31
AmortizationOfDebtDiscountPremium,,8220.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,935.000,,,,8000.000,,,,0.000
DerivativeGainLossOnDerivativeNet,,,,,,,0.000,-37197.000,,
EarningsPerShareBasic,,,0.000,0.000,,,0.000,0.000,0.000,0.000
EarningsPerShareBasicAndDiluted,0.000,0.000,,,,0.000,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,,0.000,,,,,,,,
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,,0.000,
GeneralAndAdministrativeExpense,108352.000,63794.000,63398.000,109256.000,182695.000,173256.000,170085.000,175298.000,6846.000,27949.000
IncomeTaxesPaidNet,,0.000,,,,0.000,,,,800.000
IncreaseDecreaseInAccountsPayable,,37239.000,,,,41257.000,,,,27949.000
IncreaseDecreaseInCustomerAdvances,,,,,,0.000,,,,
IncreaseDecreaseInCustomerAdvancesAndDeposits,,0.000,,,,,,,,
IncreaseDecreaseInDueToRelatedParties,,15810.000,,,,,,,,
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,,,,,,,44068.000,,,
InterestAndDebtExpense,,,2168.000,0.000,,24006.000,28348.000,53535.000,28010.000,0.000
InterestExpense,35713.000,9319.000,,,,,,,,
InterestPaid,,0.000,,,,0.000,,,,0.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,0.000,,,,
NetCashProvidedByUsedInFinancingActivities,,0.000,,,,147500.000,,,,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,0.000,,,,147500.000,,,,0.000
NetCashProvidedByUsedInInvestingActivities,,0.000,,,,0.000,,,,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,0.000,,,,0.000,,,,0.000
NetCashProvidedByUsedInOperatingActivities,,935.000,,,,-139500.000,,,,0.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,935.000,,,,-139500.000,,,,0.000
NetIncomeLoss,-144065.000,-73113.000,-65566.000,,,-3342221.000,198433.000,191636.000,34856.000,27949.000
ProceedsFromConvertibleDebt,,0.000,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,0.000,,,,0.000,,,,
ProceedsFromNotesPayable,,,,,,87500.000,,,,
ProceedsFromRelatedPartyDebt,,,,,,60000.000,,,,
ProfitLoss,,-73113.000,,-109256.000,,-187516.000,,,,-27949.000
ResearchAndDevelopmentExpense,,0.000,0.000,0.000,24000.000,0.000,0.000,0.000,0.000,
ShareBasedCompensation,,11682.000,,,,,,,,
StockOptionPlanExpense,,,,,,0.000,,,,
WeightedAverageNumberOfSharesIssuedBasic,,,,57633837.000,,57713837.000,,,,
WeightedAverageNumberOfSharesOutstandingBasic,48158957.000,53921893.000,57633837.000,,,,57793004.000,58981868.000,68582789.000,68889932.000
