,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,0.000,0.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,7984000.000,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,11700000.000,12800000.000,,4000000.000,5000000.000,5000000.000,3000000.000,6000000.000,6000000.000,5000000.000,-4000000.000,7000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,,,,7200000.000,7900000.000,,3000000.000,3000000.000,3000000.000,1000000.000,4000000.000,4000000.000,3000000.000,-3000000.000,4000000.000
AmortizationOfDebtDiscountPremium,9969000.000,,,,1755000.000,,,,-1375000.000,,,,1000000.000,,,,1000000.000,,,,0.000
AmortizationOfFinancingCosts,44025000.000,,,,16562000.000,,,,11351000.000,,,,15000000.000,,,,14000000.000,,,,10000000.000
AmortizationOfIntangibleAssets,16784000.000,,,,19166000.000,19800000.000,19900000.000,25230000.000,30499000.000,30200000.000,30300000.000,30501000.000,,,,,,,,,
AssetImpairmentCharges,,,,,,,,,,,,,,,,,0.000,,,,30000000.000
CapitalExpendituresIncurredButNotYetPaid,38782000.000,,,,41917000.000,,,,58701000.000,,,,71000000.000,,,,20000000.000,,,,17000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1008263000.000,,,,,,,,,,,,95000000.000,,,,377000000.000,,,,-31000000.000
CashDividendsPaidToParentCompanyByConsolidatedSubsidiaries,,,,,,,,,0.000,,,,,,,,,,,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,0.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,0.000
ComprehensiveIncomeNetOfTax,,,,,-15903000.000,57279000.000,274532000.000,-38607000.000,2210000.000,107700000.000,263500000.000,54590000.000,-116000000.000,34000000.000,198000000.000,30000000.000,5000000.000,-88000000.000,60000000.000,-497000000.000,-210000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,0.000,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,-15903000.000,57279000.000,274532000.000,-38607000.000,2210000.000,107700000.000,263500000.000,54590000.000,,,,,,,,,
