,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-07-31,2014-10-31,2015-01-31,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,1899300000.000,1901400000.000,1899900000.000,891300000.000,903500000.000,3328900000.000,3320900000.000,3278200000.000,3241300000.000,3209400000.000,2014300000.000,2015200000.000,2009200000.000,2031000000.000,2021400000.000,2014200000.000,2007800000.000,2011300000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,91200000.000,91200000.000,91200000.000,37400000.000,36500000.000,34100000.000,31700000.000,4100000.000,4000000.000,1100000.000,3600000.000,2000000.000,1100000.000,56300000.000,,,,32400000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2975500000.000,2977400000.000,2976000000.000,1914900000.000,1924300000.000,1955200000.000,1950800000.000,35000000.000,34700000.000,34300000.000,3199400000.000,3700200000.000,3694600000.000,3715000000.000,,,,3107300000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,131200000.000,131200000.000,131200000.000,2426800000.000,2427000000.000,35200000.000,35100000.000,1944700000.000,1923000000.000,1891400000.000,34200000.000,34200000.000,34100000.000,22800000.000,3706000000.000,3699300000.000,3690500000.000,532400000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,131200000.000,131200000.000,131200000.000,37400000.000,37500000.000,35200000.000,35100000.000,35000000.000,34700000.000,34300000.000,34200000.000,34200000.000,34100000.000,1400000.000,16900000.000,9200000.000,4200000.000,32400000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,111200000.000,111200000.000,111200000.000,37400000.000,37500000.000,35200000.000,35100000.000,34500000.000,34200000.000,19200000.000,33700000.000,26700000.000,19100000.000,,1600000.000,600000.000,,32400000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,45600000.000,22800000.000,,13000000.000,4700000.000,4100000.000,,54100000.000,,,,,,,,,,
LongTermDebtNoncurrent,5275900000.000,5257900000.000,5232900000.000,5320000000.000,5333400000.000,5359600000.000,5339600000.000,5294900000.000,5235700000.000,5156100000.000,5206200000.000,5683700000.000,5669400000.000,5653700000.000,5635700000.000,5619300000.000,5604900000.000,5618500000.000
LongtermDebtWeightedAverageInterestRate,0.071,0.071,0.071,0.067,0.067,0.060,0.060,0.060,0.060,0.060,0.048,,,0.048,,,,0.049
LossContingencyAccrualAtCarryingValue,,,,,,,,9400000.000,,,,,,,,,,
MinorityInterest,,,,,,,,,,,,10000000.000,9900000.000,10100000.000,10300000.000,9600000.000,9800000.000,9500000.000
MinorityInterestOwnershipPercentageByNoncontrollingOwners,,,,,,,,,,,,,,0.185,,,,0.185
NoncurrentAssets,67300000.000,69900000.000,71300000.000,73900000.000,75100000.000,79000000.000,82800000.000,83300000.000,82000000.000,79500000.000,82000000.000,100000000.000,113500000.000,125000000.000,139700000.000,147300000.000,155300000.000,161500000.000
OperatingLeasesFutureMinimumPaymentsDue,,,157800000.000,,,,193300000.000,,,,,,,285200000.000,,,,268500000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,48600000.000,,,,48300000.000,,,,,,,62100000.000,,,,55700000.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,8800000.000,,,,13900000.000,,,,,,,28500000.000,,,,29300000.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,16400000.000,,,,19700000.000,,,,,,,31100000.000,,,,34100000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,28300000.000,,,,30300000.000,,,,,,,37400000.000,,,,38100000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,40400000.000,,,,44700000.000,,,,,,,49000000.000,,,,44900000.000
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,15300000.000,,,,36400000.000,,,,,,,77100000.000,,,,66400000.000
OtherAccruedLiabilitiesCurrent,31800000.000,36300000.000,32100000.000,29000000.000,32400000.000,39100000.000,40800000.000,42000000.000,30000000.000,35800000.000,39800000.000,49800000.000,49800000.000,69900000.000,63000000.000,47500000.000,40100000.000,32900000.000
OtherAssetsCurrent,20800000.000,15900000.000,18600000.000,16300000.000,32500000.000,31800000.000,33500000.000,35200000.000,21700000.000,17700000.000,19900000.000,22400000.000,17500000.000,22900000.000,22300000.000,23200000.000,23900000.000,26500000.000
OtherAssetsNoncurrent,55500000.000,32800000.000,36600000.000,34100000.000,34500000.000,32500000.000,31500000.000,32900000.000,29800000.000,31400000.000,52700000.000,54300000.000,99400000.000,134300000.000,101000000.000,96500000.000,93800000.000,95400000.000
OtherLiabilitiesNoncurrent,220900000.000,217000000.000,232200000.000,223400000.000,240400000.000,228600000.000,217800000.000,194600000.000,187400000.000,174400000.000,197000000.000,204500000.000,210400000.000,239400000.000,220800000.000,205800000.000,200800000.000,209800000.000
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,,,1500000.000,,,,2100000.000,,,,,,,100000.000,,,,1000000.000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,,,31000000.000,,,,31800000.000,,,,,,,38400000.000,,,,37700000.000
PrepaidExpenseCurrent,91700000.000,107400000.000,108500000.000,107400000.000,107900000.000,123700000.000,108100000.000,106700000.000,104600000.000,113300000.000,125800000.000,126800000.000,148600000.000,151200000.000,153300000.000,149200000.000,153800000.000,161100000.000
PropertyPlantAndEquipmentGross,,,237300000.000,,,,275300000.000,,,,,,,355200000.000,,,,423400000.000
PropertyPlantAndEquipmentNet,67300000.000,69900000.000,71300000.000,73900000.000,75100000.000,79000000.000,82800000.000,83300000.000,82000000.000,79500000.000,82000000.000,100000000.000,113500000.000,125000000.000,139700000.000,147300000.000,155300000.000,161500000.000
RedeemableNoncontrollingInterestEquityCarryingAmount,,,,,,,,,,,,127800000.000,133700000.000,140000000.000,146500000.000,,,
RestrictedCashAndCashEquivalents,,,7200000.000,,,,26800000.000,,,,,,,10500000.000,,,,13300000.000
RestructuringAndRelatedCostCostIncurredToDate1,,,,,,,,120200000.000,124200000.000,124500000.000,90200000.000,96600000.000,109000000.000,116800000.000,115900000.000,125600000.000,133700000.000,135900000.000
RestructuringAndRelatedCostExpectedCost1,,,,,,,,120200000.000,124200000.000,124500000.000,90200000.000,96600000.000,109000000.000,116800000.000,115900000.000,125600000.000,133700000.000,135900000.000
RestructuringReserve,26300000.000,19000000.000,17900000.000,13000000.000,12800000.000,12800000.000,18200000.000,15300000.000,12300000.000,5800000.000,3100000.000,7900000.000,16900000.000,19800000.000,33000000.000,35100000.000,31700000.000,21400000.000
RetainedEarningsAccumulatedDeficit,-1851200000.000,-1924000000.000,-1871400000.000,-1848300000.000,-1785300000.000,-1784000000.000,-1749700000.000,-1730900000.000,-1717800000.000,-1666500000.000,-1672500000.000,-1674300000.000,-1718500000.000,-1694800000.000,-1720300000.000,-1717400000.000,-1679800000.000,-1881600000.000
StockholdersEquity,-551900000.000,-583700000.000,-563900000.000,-555700000.000,-496400000.000,-492200000.000,-460000000.000,-470500000.000,-576300000.000,-683700000.000,-803600000.000,-823000000.000,-868200000.000,-749000000.000,-763400000.000,-779900000.000,-741200000.000,-1003800000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-551900000.000,-583700000.000,-563900000.000,-555700000.000,-496400000.000,-492200000.000,-460000000.000,-470500000.000,-576300000.000,-683700000.000,-803600000.000,-813000000.000,-858300000.000,-738900000.000,-753100000.000,-770300000.000,-731400000.000,-994300000.000
UnbilledContractsReceivable,58300000.000,49800000.000,54300000.000,50600000.000,55300000.000,57300000.000,53000000.000,53300000.000,52300000.000,49600000.000,38600000.000,44700000.000,43500000.000,42400000.000,49400000.000,50700000.000,54300000.000,53100000.000
UnrecognizedTaxBenefits,,,186400000.000,,,,161700000.000,,,,,,,155300000.000,,,,150000000.000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAccrued,,,6300000.000,,,,5700000.000,,,,,,,5300000.000,,,,4700000.000
UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued,,,20200000.000,,,,19700000.000,,,,,,,19000000.000,,,,18400000.000
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,,,86900000.000,,,,68300000.000,,,,,,,100000000.000,,,,71900000.000
