,2011-01-31,2011-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-24000000.000,
CostOfGoodsSold,42000000.000,50000000.000
CostOfRevenue,64000000.000,72000000.000
CostOfServices,22000000.000,22000000.000
DepreciationAmortizationAndAccretionNet,5000000.000,
EarningsPerShareBasic,-0.080,-0.660
EarningsPerShareDiluted,-0.080,-0.660
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5000000.000,-38000000.000
IncomeTaxExpenseBenefit,,2000000.000
IncomeTaxesPaid,3000000.000,
IncreaseDecreaseInAccountsPayable,-15000000.000,
IncreaseDecreaseInAccountsReceivable,-13000000.000,
IncreaseDecreaseInDeferredRevenue,-3000000.000,
IncreaseDecreaseInInventories,7000000.000,
IncreaseDecreaseInOtherEmployeeRelatedLiabilities,-16000000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,-3000000.000,
InterestPaid,4000000.000,
InventoryWriteDown,1000000.000,
MarketableSecuritiesRealizedGainLoss,2000000.000,
NetCashProvidedByUsedInFinancingActivities,3000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,3000000.000,
NetCashProvidedByUsedInInvestingActivities,4000000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,4000000.000,
NetCashProvidedByUsedInOperatingActivities,-31000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-31000000.000,
NetIncomeLoss,-5000000.000,-40000000.000
OperatingExpenses,61000000.000,77000000.000
OperatingIncomeLoss,-5000000.000,-37000000.000
OtherNonoperatingIncomeExpense,,-1000000.000
OtherSellingGeneralAndAdministrativeExpense,38000000.000,29000000.000
PaymentsToAcquireAvailableForSaleSecurities,73000000.000,
PaymentsToAcquirePropertyPlantAndEquipment,2000000.000,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,43000000.000,
ProceedsFromSaleOfAvailableForSaleSecurities,35000000.000,
ProceedsFromSaleOfProductiveAssets,1000000.000,
ProceedsFromStockPlans,3000000.000,
ResearchAndDevelopmentExpense,23000000.000,23000000.000
RestructuringCharges,,2000000.000
Revenues,120000000.000,112000000.000
SalesRevenueGoodsNet,83000000.000,77000000.000
SalesRevenueNet,120000000.000,112000000.000
SalesRevenueServicesNet,37000000.000,35000000.000
ShareBasedCompensation,7000000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,60455000.000,60766000.000
WeightedAverageNumberOfSharesOutstandingBasic,60455000.000,60766000.000
