,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,309773.000,262567.000,224672.000,297784.000
AdditionalPaidInCapital,220787270.000,220038837.000,219835071.000,219835071.000,219835071.000,219835071.000,219835071.000,219835071.000,219648412.000,,,,,,,,,,,
Assets,239598334.000,220582524.000,223657903.000,215104862.000,201976748.000,197401123.000,198232102.000,178659519.000,170897991.000,176165872.000,173736599.000,160424639.000,135567711.000,119349045.000,121154849.000,101297416.000,88901061.000,94315180.000,104899004.000,91061464.000
AssetsNet,,,,,,,170668644.000,173287862.000,167146684.000,170834919.000,169384339.000,147887472.000,123198004.000,113858104.000,115480367.000,97489952.000,85631541.000,84144137.000,91345681.000,86812949.000
AssetsSoldUnderAgreementsToRepurchaseMarketValue,,,,2175324.000,583450.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,0.000,,0.000,,,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesIssued,9267040.000,9229040.000,9219240.000,9219240.000,9219240.000,9219240.000,9219240.000,9219240.000,9206940.000,9206940.000,9206940.000,9206940.000,9047040.000,9047040.000,9047040.000,9047040.000,9047040.000,9047040.000,9047040.000,9047040.000
CommonStockSharesOutstanding,9267040.000,9229040.000,9219240.000,9219240.000,9219240.000,9219240.000,9219240.000,9219240.000,9206940.000,9206940.000,9206940.000,9206940.000,9047040.000,9047040.000,9047040.000,9047040.000,9047040.000,9047040.000,9047040.000,9047040.000
CommonStocksIncludingAdditionalPaidInCapital,,,,,,,,,,219648412.000,219648412.000,219648412.000,217646428.000,217646428.000,217646428.000,217646428.000,217646428.000,217646428.000,217646428.000,217646428.000
DerivativeAssetFairValueNet,,,,7321862.000,,,,,,,,,,,,,,,,
DerivativeLiabilityFairValueNet1,,,,2403772.000,,,,,,,,,,,,,,,,
DividendsPayableCurrentAndNoncurrent,1343721.000,,1336790.000,1336790.000,,1336790.000,1336790.000,1198501.000,,1196902.000,1196902.000,1196902.000,,,,,,524724.000,524724.000,524724.000
FairValueNetAssetLiability,,,,,,,,,,,,,,,,85023118.000,70019284.000,82936929.000,92623207.000,72458821.000
FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,,,,175874372.000,169902839.000,161152204.000,148619541.000,149659962.000,139663104.000,143958983.000,137154095.000,131667988.000,112651962.000,94669980.000,91531149.000,85555240.000,,,,
InterestReceivable,859097.000,561049.000,479946.000,,,,17.000,,,,,,,,,,,,,
InvestmentOwnedAtCost,,,,,,,,,,,143659633.000,134548444.000,113736191.000,96170001.000,98931569.000,86674694.000,71117894.000,82049542.000,91453618.000,72789293.000
InvestmentOwnedBalancePrincipalAmount,,,,,,,,,,,137200000.000,131700000.000,112700000.000,94700000.000,91620000.000,85620000.000,,,,
InvestmentRelatedLiabilities,,,,,,,16983276.000,,,,,,,,,,,,,
InvestmentsFairValueDisclosure,,,,182967786.000,166167243.000,157736134.000,160462376.000,150266341.000,142087631.000,148603508.000,145016060.000,124786227.000,102602843.000,93282461.000,97367434.000,,,,,
Liabilities,26871177.000,6402395.000,6544939.000,4386204.000,4834840.000,7449690.000,27563458.000,5371657.000,3751307.000,5330953.000,4352260.000,12537167.000,12369707.000,5490941.000,5674482.000,3807464.000,3269520.000,10171043.000,13553323.000,4248515.000
LiabilitiesAndStockholdersEquity,239598334.000,220582524.000,223657903.000,215104862.000,201976748.000,197401123.000,198232102.000,178659519.000,170897991.000,176165872.000,173736599.000,160424639.000,135567711.000,119349045.000,121154849.000,101297416.000,88901061.000,94315180.000,104899004.000,91061464.000
ManagementFeePayable,,,,,,,,,178826.000,182235.000,174647.000,157194.000,138599.000,123446.000,118827.000,102014.000,91477.000,89572.000,93161.000,87985.000
