,2011-09-30
CostsAndExpenses,313278000.000
DepreciationAndAmortization,12791000.000
EarningsPerShareBasic,-0.190
EarningsPerShareDiluted,-0.190
FuelCosts,9963000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5045000.000
IncomeTaxExpenseBenefit,-1576000.000
LaborAndRelatedExpense,108629000.000
NetIncomeLoss,-3469000.000
NonoperatingIncomeExpense,-11524000.000
OperatingIncomeLoss,6479000.000
OtherCostAndExpenseOperating,34783000.000
OtherNonoperatingIncomeExpense,1203000.000
OtherSalesRevenueNet,4918000.000
Revenues,319757000.000
SalesRevenueNet,319757000.000
SalesRevenueServicesNet,314839000.000
SellingExpense,7770000.000
WeightedAverageNumberOfDilutedSharesOutstanding,18494.000
WeightedAverageNumberOfSharesOutstandingBasic,18494.000
