,2011-12-31,2012-12-31,2013-12-31
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,81390.000,
AdjustmentsToAdditionalPaidInCapitalOther,,144227.000,7596.000
AdvertisingExpense,,73661.000,13950.000
AllocatedShareBasedCompensationExpense,,144228.000,
AmortizationOfDeferredCharges,12233.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,2949.000,-3190.000
CashPeriodIncreaseDecrease,133.000,,
DebtInstrumentDecreaseForgiveness,,1148.000,518.000
DebtInstrumentIncreaseDecreaseOtherNet,,1148.000,
DebtInstrumentPeriodicPaymentPrincipal,-9415.000,,
EarningsPerShareBasicAndDiluted,,,-0.000
ExplorationExpenseMining,1854.000,3439.000,2527.000
ForeignCurrencyTransactionGainLossBeforeTax,,,157.000
ForeignCurrencyTransactionLossBeforeTax,-209.000,-175.000,
GainLossOnDispositionOfAssets,,0.000,
GeneralAndAdministrativeExpense,32831.000,193887.000,59703.000
IncomeLossFromContinuingOperations,-146348.000,-356272.000,-111149.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-10659.000,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,-0.000,
IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicAndDilutedShare,-0.000,,
IncreaseDecreaseInAccountsAndOtherReceivables,,1089.000,
IncreaseDecreaseInAccountsPayable,,2550.000,-4015.000
IncreaseDecreaseInMarketableSecuritiesRestricted,906000.000,65299.000,
IncreaseDecreaseInOtherOperatingAssets,,8.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,5.000,50.000
InterestAndDividendIncomeOperating,5884.000,,
InterestExpense,-6399.000,-1976.000,
InterestExpenseRelatedParty,365.000,1148.000,518.000
InterestIncomeExpenseNet,,,-1079.000
LineOfCreditFacilityDecreaseForgiveness,365.000,,
MarketableSecuritiesGainLoss,-906000.000,42701.000,
MarketableSecuritiesRealizedGainLossOtherThanTemporaryImpairmentsAmount,,-65299.000,
NetCashProvidedByUsedInFinancingActivities,87049.000,213441.000,104732.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,87049.000,213441.000,104732.000
NetCashProvidedByUsedInOperatingActivities,-86916.000,-210492.000,-107922.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-86916.000,-210492.000,-107922.000
NetIncomeLoss,,-423722.000,-112071.000
NetIncomeLossAttributableToParentDiluted,,-423722.000,-112071.000
NetIncomeLossAvailableToCommonStockholdersBasic,-10659.000,,
NetIncomeLossAvailableToCommonStockholdersDiluted,,-423722.000,112071.000
NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims,1048297.000,,
OperatingExpenses,146348.000,356272.000,111149.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentBeforeTaxPortionAttributableToNoncontrollingInterest,,,0.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,1074.000,-1097.000,
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-10659.000,,
OtherNoncashIncomeExpense,135689.000,,
OtherOperatingIncomeExpenseNet,,-67450.000,-922.000
ProceedsFromIssuanceOfDebt,26200.000,82595.000,21556.000
ProceedsFromIssuanceOrSaleOfEquity,70264.000,50347.000,
ProceedsFromSaleOfTreasuryStock,,38610.000,83176.000
ProceedsFromWarrantExercises,,50347.000,0.000
ProfessionalAndContractServicesExpense,58510.000,45150.000,6500.000
ProfessionalFees,53153.000,,
RepaymentsOfNotesPayable,,-812.000,
ResearchAndDevelopmentExpense,,40135.000,28469.000
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,,,0.000
StockIssuedDuringPeriodSharesIssuedForCash,,0.000,0.000
StockIssuedDuringPeriodSharesOther,,81390.000,37973.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,,,37973.000
StockIssuedDuringPeriodValueIssuedForCash,,38610.000,83176.000
StockIssuedDuringPeriodValueOther,13849.000,,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,182401415.000,246526674.000
