,2011-06-30,2011-09-30,2012-03-31,2012-06-30
AmortizationOfFinancingCosts,,,,294000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-5631000.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,8581000.000,5244000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,59779000.000,57873000.000,61738000.000,60499000.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,79000.000
DepreciationDepletionAndAmortization,6045000.000,6175000.000,6445000.000,6893000.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,195000.000,
EffectiveIncomeTaxRateContinuingOperations,,,,0.357
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,11805000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,10778000.000,3668000.000,8250000.000,11805000.000
IncomeTaxExpenseBenefit,2764000.000,1087000.000,2837000.000,4218000.000
InterestExpense,6626000.000,6592000.000,6158000.000,6120000.000
InterestExpenseOther,,,,11000.000
InterestExpenseSubordinatedNotesAndDebentures,,,,4785000.000
NetCashProvidedByUsedInFinancingActivities,,,-5281000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-5281000.000,
NetCashProvidedByUsedInInvestingActivities,,,-7081000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-7081000.000,
NetCashProvidedByUsedInOperatingActivities,,,6536000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,6536000.000,
NetIncomeLoss,8014000.000,2581000.000,5413000.000,7587000.000
OperatingIncomeLoss,17337000.000,9873000.000,14662000.000,18109000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,3168000.000,-2343000.000
OtherNonoperatingIncomeExpense,67000.000,387000.000,-254000.000,-184000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,250000.000,
PaymentsToAcquirePropertyPlantAndEquipment,,,6842000.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,11000.000,
RepaymentsOfLinesOfCredit,,,4000000.000,
RepaymentsOfLongTermCapitalLeaseObligations,,,30000.000,
RepaymentsOfSeniorDebt,,,1251000.000,
Revenues,99254000.000,93314000.000,99079000.000,101855000.000
SalesRevenueNet,99254000.000,93314000.000,99079000.000,101855000.000
SellingGeneralAndAdministrativeExpense,16093000.000,19393000.000,16234000.000,16354000.000
