,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AssetImpairmentCharges,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
AssetRetirementObligationAccretionExpense,21000.000,21000.000,20200.000,20200.000,20200.000,20200.000,22200.000,22200.000,22300.000,22200.000,22600.000,22600.000,22600.000,22600.000,33000.000,33000.000,33000.000,33000.000,22600.000,23300.000
AssetRetirementObligationPeriodIncreaseDecrease,,,,0.000,0.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,3300.000,,,,2100.000,,,,-32200.000,,,,,,,,,
CashPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,0.000,
ComprehensiveIncomeNetOfTax,,,-88100.000,-96900.000,-75600.000,-90000.000,-117900.000,-39300.000,-63900.000,-1800.000,44700.000,38700.000,-74800.000,-1984300.000,-85100.000,-103000.000,-856500.000,-79800.000,-78000.000,-96600.000
CostsAndExpenses,,,279900.000,253800.000,288200.000,313400.000,307100.000,332700.000,336200.000,235300.000,226400.000,243100.000,227400.000,2164800.000,199400.000,176700.000,933500.000,158300.000,138700.000,154200.000
DepletionOfOilAndGasProperties,154900.000,147600.000,74700.000,74300.000,88900.000,127600.000,110400.000,132500.000,137300.000,47000.000,40500.000,44900.000,45300.000,98000.000,13300.000,13100.000,14000.000,0.000,0.000,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,3000.000,-2800.000,6300.000,5100.000,2700.000,-2800.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,,,,,,,,,2300.000,2200.000,-1300.000,-400.000,300.000,600.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,,130100.000,,,,97900.000,,,,,,,,,,,,,
GainLossOnFairValueHedgeIneffectivenessNet,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000
GainLossOnSaleOfDerivatives,,,,,,,,,,,,,,,4000.000,,,,-400.000,
GeneralAndAdministrativeExpense,29000.000,35300.000,39300.000,29700.000,35200.000,31100.000,37500.000,31500.000,36200.000,30900.000,31900.000,26200.000,31300.000,34600.000,32900.000,30200.000,28400.000,28800.000,28400.000,31400.000
GeneralPartnerDistributions,,,,,0.000,,,,,,,,,,,,,,,
GrossProfit,,,47600.000,,,,55300.000,,,,140600.000,,,,-7900.000,,,,-29400.000,
IncomeTaxExaminationPenaltiesAndInterestExpense,,,,,,,,,,,,,,,,,0.000,,,
IncreaseDecreaseDueFromAffiliates,,,-80500.000,,,,-58400.000,,,,68300.000,,,,-53600.000,,,,-4300.000,
