,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,547186000.000,,,,,,,,,,,,,,,,,,,,,,
AccountsPayableCurrent,522620000.000,558712000.000,519216000.000,,429134000.000,413600000.000,407300000.000,382100000.000,406600000.000,390300000.000,393200000.000,362800000.000,395000000.000,390600000.000,321000000.000,272400000.000,310900000.000,299300000.000,348700000.000,334800000.000,366900000.000,379100000.000,422600000.000,378000000.000,449800000.000,507000000.000
AccountsReceivableNetCurrent,712296000.000,762275000.000,701968000.000,665402000.000,702107000.000,703300000.000,687500000.000,645200000.000,709700000.000,685400000.000,654800000.000,615400000.000,654100000.000,669500000.000,562000000.000,566100000.000,568600000.000,498300000.000,461800000.000,451300000.000,489600000.000,521500000.000,474700000.000,461900000.000,475700000.000,475300000.000
AccrualForEnvironmentalLossContingencies,,,,7500000.000,,,,7900000.000,,,,7600000.000,,,,6100000.000,6800000.000,6600000.000,6200000.000,5600000.000,5100000.000,4300000.000,3700000.000,3500000.000,3800000.000,3900000.000
AccruedSalariesCurrent,86402000.000,97838000.000,95665000.000,95774000.000,98124000.000,106300000.000,122400000.000,107900000.000,88500000.000,95500000.000,102000000.000,99600000.000,84300000.000,96400000.000,85300000.000,86600000.000,68600000.000,83700000.000,90600000.000,93300000.000,64500000.000,71000000.000,77300000.000,79600000.000,68200000.000,70000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,1052994000.000,,,,1150100000.000,,,,1254800000.000,,,,1167400000.000,,,,1213200000.000,,,,1340300000.000,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,395000.000,263000.000,132000.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,144691000.000,140775000.000,219689000.000,213132000.000,208500000.000,203900000.000,193400000.000,189200000.000,185000000.000,128400000.000,90700000.000,89400000.000,92200000.000,89600000.000,140400000.000,137200000.000,134000000.000,130800000.000,143400000.000,140100000.000,134400000.000,132400000.000,117100000.000,115000000.000,112700000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,306960000.000,149618000.000,128813000.000,164687000.000,70700000.000,86000000.000,80500000.000,88900000.000,13900000.000,21600000.000,-8000000.000,2000000.000,21200000.000,-73100000.000,-151300000.000,-250400000.000,-237600000.000,-357400000.000,-366500000.000,-322700000.000,-291800000.000,-302700000.000,-330700000.000,-300800000.000,-304800000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,126462000.000,162664000.000,9106000.000,-90744000.000,-48445000.000,-137800000.000,-117900000.000,-112900000.000,-100300000.000,-171100000.000,-106800000.000,-98700000.000,-87400000.000,-71000000.000,-162700000.000,-291700000.000,-387600000.000,-371600000.000,-488200000.000,-509900000.000,-462800000.000,-426200000.000,-435100000.000,-447800000.000,-415800000.000,-417500000.000
AdditionalPaidInCapitalCommonStock,569499000.000,573794000.000,530349000.000,532441000.000,535496000.000,539300000.000,540700000.000,545400000.000,536200000.000,542400000.000,546300000.000,548100000.000,550500000.000,555100000.000,556600000.000,559700000.000,561800000.000,567000000.000,571000000.000,573200000.000,566900000.000,572200000.000,576800000.000,581500000.000,577400000.000,581800000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,-30500000.000,,,,29600000.000,,,,30700000.000,,,,21000000.000,,,,18000000.000,,,,18200000.000,,
