,2011-01-31,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,,,,,,,,,4000000.000,,,
AdjustmentsToAdditionalPaidInCapitalStockSplit,,,,,,,,,,,,,,,,,,,,,,0.000,,,
AdvertisingExpense,96800000.000,90800000.000,106700000.000,98800000.000,98700000.000,92100000.000,106600000.000,110500000.000,98800000.000,103000000.000,111000000.000,116000000.000,106000000.000,99000000.000,123000000.000,112000000.000,103000000.000,95000000.000,115000000.000,107000000.000,100000000.000,82000000.000,107000000.000,102000000.000,92000000.000
AmortizationOfIntangibleAssets,1300000.000,1300000.000,1300000.000,800000.000,-400000.000,,0.000,0.000,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,388000.000,388000.000,387000.000,-872000.000,561000.000,508000.000,524000.000,-1195000.000,414000.000,410000.000,410000.000,-925000.000,366000.000,363000.000,359000.000,-727000.000,644000.000,415000.000,375000.000,-981000.000,1173000.000,1937000.000,2231000.000,-3625000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-14600000.000,,,,23200000.000,,,,13000000.000,,,,23000000.000,,,,124000000.000,,,,196000000.000,,,
CommonStockDividendsPerShareCashPaid,1.320,0.320,0.320,0.350,0.350,0.233,0.233,4.255,0.259,0.255,0.255,0.290,0.290,0.290,0.290,0.315,0.315,0.315,0.315,0.340,0.340,0.170,0.170,0.182,0.183
CommonStockDividendsPerShareDeclared,1.640,0.640,,0.700,,0.467,0.000,4.510,,0.510,0.000,0.580,,0.580,0.000,0.630,,0.630,0.000,0.680,,0.340,0.000,0.365,
ComprehensiveIncomeNetOfTax,,116100000.000,131200000.000,130600000.000,36100000.000,146200000.000,181500000.000,174200000.000,108100000.000,142000000.000,217000000.000,175000000.000,148000000.000,143000000.000,212000000.000,162000000.000,55000000.000,152000000.000,198000000.000,173000000.000,494000000.000,92000000.000,192000000.000,156000000.000,189000000.000
CostOfGoodsSold,244500000.000,217500000.000,279200000.000,250700000.000,180600000.000,201700000.000,252200000.000,240200000.000,199900000.000,209000000.000,257000000.000,250000000.000,197000000.000,210000000.000,268000000.000,260000000.000,213000000.000,208000000.000,268000000.000,254000000.000,215000000.000,208000000.000,278000000.000,272000000.000,215000000.000
DeferredIncomeTaxExpenseBenefit,,,,,,28400000.000,,,,12000000.000,,,,1000000.000,,,,2000000.000,,,,-11000000.000,,,
DepreciationAndAmortization,,13000000.000,,,,11500000.000,,,,12000000.000,,,,13000000.000,,,,13000000.000,,,,15000000.000,,,
DividendsCommonStockCash,,,,,,,,,,,,,,,,,,,,,,134000000.000,,,
EarningsPerShareBasic,0.970,0.810,1.100,0.940,0.740,0.690,0.810,0.740,0.530,0.670,0.970,0.830,0.610,0.700,0.980,0.880,0.670,0.750,0.980,0.940,2.590,0.370,0.510,0.470,0.370
EarningsPerShareDiluted,0.960,0.810,1.090,0.930,0.730,0.690,0.800,0.730,0.530,0.660,0.960,0.820,0.620,0.700,0.970,0.870,0.670,0.750,0.970,0.940,2.560,0.360,0.500,0.470,0.380
EffectOfExchangeRateOnCashAndCashEquivalents,,-3800000.000,,,,-2300000.000,,,,-4000000.000,,,,-1000000.000,,,,-5000000.000,,,,-6000000.000,,,
EffectiveIncomeTaxRateContinuingOperations,,0.340,,,,0.321,,,,0.324,,,,0.298,,,,0.285,,,,0.282,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,4400000.000,,,,7600000.000,,,,6000000.000,,,,16000000.000,,,,12000000.000,,,,0.000,,,
