,2015-12-31,2016-12-31
AssetRetirementObligationAccretionExpense,699000.000,727000.000
AssetRetirementObligationLiabilitiesSettled,796000.000,149000.000
AssetRetirementObligationRevisionOfEstimate,-685000.000,-1053000.000
CapitalExpendituresIncurredButNotYetPaid,1026000.000,759000.000
CapitalLeaseObligationsIncurred,111000.000,127000.000
CapitalLeasesIncomeStatementAmortizationExpense,29000.000,78000.000
CargoAndFreightRevenue,3047000.000,11603000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,6528000.000,3251000.000
CoalProductsAndServicesRevenue,257809000.000,266395000.000
ComprehensiveIncomeNetOfTax,49190000.000,26669000.000
ConcentrationRiskPercentage1,,1.000
ContributionOfProperty,17566000.000,
CostsAndExpenses,210946000.000,255266000.000
DepreciationDepletionAndAmortization,35309000.000,41994000.000
FreightCosts,3047000.000,11603000.000
GainLossOnContractTermination,0.000,1572000.000
GainLossOnDispositionOfAssets1,49000.000,-9000.000
GainLossRelatedToLitigationSettlement,0.000,0.000
GainOnBusinessInterruptionInsuranceRecovery,0.000,
IncreaseDecreaseInAccountsPayable,-1068000.000,1968000.000
IncreaseDecreaseInAccountsPayableRelatedParties,3452000.000,-2644000.000
IncreaseDecreaseInInventories,-848000.000,-747000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,-5238000.000,2032000.000
IncreaseDecreaseInOtherOperatingAssets,2597000.000,3465000.000
IncreaseDecreaseInOtherOperatingLiabilities,-5573000.000,7010000.000
IncreaseDecreaseInOtherReceivables,15511000.000,4064000.000
IncreaseDecreaseInPrepaidExpense,158000.000,-1577000.000
InterestCostsCapitalizedAdjustment,278000.000,315000.000
InterestExpense,8495000.000,8719000.000
InterestExpenseDebt,3928000.000,9022000.000
InterestExpenseOther,5000.000,12000.000
InterestExpenseRelatedParty,4840000.000,0.000
InterestPaidNet,7618000.000,7734000.000
NetCashProvidedByUsedInFinancingActivities,-27066000.000,-35666000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-27066000.000,-35666000.000
NetCashProvidedByUsedInInvestingActivities,-27201000.000,-34181000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-27201000.000,-34181000.000
NetCashProvidedByUsedInOperatingActivities,60795000.000,73098000.000
