,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,,,,,,,,,,,43650.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,466333.000,-160730.000,-387446.000,-39376.000,-106813.000,-23652.000,6909.000,-11084.000,-6490.000,-603.000,10967.000,210324.000,,,-7732.000,,
ComprehensiveIncomeNetOfTax,,,,-546534.000,-287695.000,,-45433.000,-63709.000,-26212.000,240834.000,-29035.000,-44298.000,-43263.000,347532.000,-333682.000,-361654.000,-339396.000
DeconsolidationGainOrLossAmount,,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,
DepreciationAndAmortization,,0.000,,,,,,,,,,,,,,,
DividendsPaidinkind,,,-39603.000,0.000,0.000,,0.000,0.000,0.000,,,,,,,,
EarningsPerShareBasic,-0.120,-0.050,-0.070,0.000,-0.010,-0.030,-0.010,-0.010,0.000,0.030,0.000,0.000,0.010,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,,,0.020,0.000,-0.030
EarningsPerShareDiluted,-0.120,-0.050,-0.070,0.000,-0.010,-0.030,-0.010,-0.010,0.000,0.030,0.000,0.000,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,0.000,,,,,,,,,,,,,3370.000,,
ExplorationExpenseMining,,0.000,517936.000,101042.000,87324.000,52440.000,13234.000,220.000,1500.000,0.000,0.000,0.000,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-22.000,-495.000,390.000,-934.000,-5434.000,-228.000,-6093.000,-1174.000,-474.000,41.000,-1832.000,2846.000,,,,,
GainLossOnInvestmentsExcludingOtherThanTemporaryImpairments,,0.000,,0.000,0.000,,,,,,,,,,,,
GainLossOnSaleOfSecuritiesNet,,,,156870.000,19544.000,,24318.000,0.000,0.000,0.000,0.000,0.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,0.000,,,0.000,,,,,,,-25004.000,,,,,
GainsLossesOnRestructuringOfDebt,30000.000,21750.000,0.000,0.000,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,213556.000,41733.000,55456.000,51508.000,13499.000,37890.000,36173.000,28109.000,12876.000,-237540.000,12965.000,12112.000,12946.000,-20382.000,34882.000,4466.000,14934.000
IncomeLossFromEquityMethodInvestments,-677477.000,-355957.000,0.000,0.000,0.000,0.000,,,,,,,,,,,
IncomeTaxExpenseBenefit,,,,,4577.000,,,,0.000,,,,,,,,
IncomeTaxesPaid,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,272735.000,-62763.000,-89140.000,-113068.000,-19540.000,85808.000,-23184.000,4592.000,-11358.000,-1574.000,1978.000,-15196.000,,,13656.000,,
IncreaseDecreaseInDueFromRelatedParties,,-22643.000,-128966.000,-16147.000,0.000,127994.000,0.000,0.000,0.000,0.000,,,,,,,
IncreaseDecreaseInPrepaidExpense,-6327.000,12695.000,-5545.000,-15343.000,9205.000,-6470.000,-6469.000,-10470.000,-1000.000,0.000,0.000,0.000,,,,,
IncreaseDecreaseInReceivables,-462966.000,0.000,24764.000,-12527.000,-698.000,-2974.000,0.000,-3218.000,0.000,-69.000,,0.000,,,,,
InterestAndOtherIncome,5700.000,0.000,52.000,0.000,0.000,1.000,1645.000,0.000,0.000,0.000,0.000,0.000,,,,,
