,2011-10-31,2012-01-31,2012-10-31,2013-01-31,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2015-01-31,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,21371.000,,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,1032741.000,,,,853417.000,,0.000,,,,,,,
AmortizationOfFinancingCosts,,,,,40549.000,,,,0.000,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,31555.000,,,,267000.000,0.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,524302.000,27341478.000,3972215.000,2326507.000,4106845.000,-5530751.000,40717481.000,,2841973.000,,,,219769.000,,,
BusinessCombinationConsiderationTransferred1,,,,,,,,,,4579000.000,,,,,,,,
CapitalizedComputerSoftwareAdditions,,,,,,,,,833.000,,,,,,,,,
CapitalizedComputerSoftwareAmortization,,,,,,,,,267345.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,101282.000,,,,-858121.000,,3175250.000,,,,-295697.000,,,
ComprehensiveIncomeNetOfTax,-1815055.000,-10278626.000,-529648.000,-1190438.000,-6123618.000,-381181.000,-3665943.000,-1089736.000,-3116042.000,-2950807.000,125176.000,-1552632.000,-819076.000,-170019.000,557181.000,-418961.000,-454967.000,-902082.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,53890.000,42857.000,50881.000,57321.000,26491.000,-12866.000,48401.000,-64959.000,-44405.000,-6965.000,-431.000,0.000,0.000,431.000,0.000,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-1761165.000,-10235769.000,-478767.000,-1133117.000,-6097127.000,-394047.000,-3617542.000,-1154695.000,-3160447.000,-2957772.000,124745.000,-1552632.000,-819076.000,-169588.000,557181.000,,,
ConvertiblePreferredStockConvertedToOtherSecurities,,,,,,,,,,,691768.000,,,,,,,
CostOfRevenue,23069272.000,19905127.000,6324209.000,6604565.000,7149494.000,5602337.000,6227892.000,-2235003.000,5293104.000,5210427.000,3447203.000,3294565.000,2521627.000,2306969.000,2635508.000,3819187.000,3235871.000,3203335.000
CostsAndExpenses,28467745.000,25978149.000,9581214.000,9310840.000,11360071.000,7671473.000,8720537.000,-2491403.000,7096463.000,6771707.000,4774975.000,5864264.000,4140453.000,3807047.000,4009160.000,5414542.000,4736640.000,5121151.000
