,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdministrativeFeesExpense,,,,,,,,,,4005.000,4524.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-9564.000,,,,-5351.000,,,,-5791.000,,,,-4855.000,,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,0.020,0.000,0.000,0.000,-0.010,-0.000,-0.010,-0.000,-0.020,0.010,-0.000,,
GeneralAndAdministrativeExpense,962.000,1376.000,1893.000,13660.000,1200.000,2651.000,1035.000,2668.000,1228.000,1186.000,2894.000,-15.000,1070.000,816.000,818.000,1629.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,162.000,,,,2518.000,,,,3396.000,,,,-25056.000,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,990.000,,,,7478.000,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,-25000.000,,,
IncreaseDecreaseInPrepaidExpense,,,,,469.000,,,,-505.000,,,,,,,
InterestExpense,,,,,,,,,,,,,599.000,677.000,1019.000,479.000
NetCashProvidedByUsedInOperatingActivities,-9564.000,,,,-5351.000,,,,-5791.000,,,,-4855.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-9564.000,,,,-5351.000,,,,-5791.000,,,,-4855.000,,,
NetIncomeLoss,-9726.000,-7576.000,-4551.000,-17829.000,-7400.000,-4601.000,-4810.000,-8869.000,-9672.000,-25569.000,-11418.000,-17651.000,37723.000,-8728.000,-6123.000,-9054.000
OperatingExpenses,9726.000,7576.000,4551.000,17829.000,7400.000,4601.000,4810.000,8493.000,9672.000,25569.000,11418.000,17390.000,11678.000,8051.000,5104.000,8575.000
OtherIncome,,,,,,,,,,,,,50000.000,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,,,,49401.000,-677.000,-1019.000,-479.000
ProfessionalFees,8764.000,6200.000,2658.000,4169.000,6200.000,1950.000,3775.000,5825.000,8444.000,24383.000,8524.000,17405.000,10608.000,7235.000,4286.000,6946.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,1980000.000,2010948.000,2475731.000,-3987806.000,2529680.000,2529680.000,2529680.000,-5059360.000,2529680.000,2529680.000,2529680.000,-5059360.000,2529680.000,2529680.000,2529680.000,-5059360.000
