,2011-06-30
AccountsPayableCurrent,14111000.000
AccountsReceivableNetCurrent,153809000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-26259000.000
AllowanceForDoubtfulAccountsReceivableCurrent,11674000.000
Assets,623759000.000
AssetsCurrent,302752000.000
CashAndCashEquivalentsAtCarryingValue,50537000.000
CustomerAdvancesCurrent,23429000.000
DeferredTaxAssetsNetCurrent,7022000.000
DeferredTaxAssetsNetNoncurrent,13451000.000
DerivativeFairValueOfDerivativeAsset,10306000.000
GeneralPartnersCapitalAccount,378000.000
Goodwill,198953000.000
IntangibleAssetsNetExcludingGoodwill,53705000.000
InventoryNet,60391000.000
LiabilitiesAndStockholdersEquity,623759000.000
LiabilitiesCurrent,161172000.000
LimitedPartnersCapitalAccount,342627000.000
LongTermDebt,124241000.000
OtherAssetsNoncurrent,10423000.000
OtherLiabilitiesNoncurrent,21600000.000
PartnersCapital,316746000.000
PrepaidExpenseAndOtherAssetsCurrent,20687000.000
PropertyPlantAndEquipmentNet,44475000.000
