,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,2877000000.000,2808000000.000,2943000000.000,,2759000000.000,2672000000.000,2884000000.000,3083000000.000,3107000000.000,3320000000.000,3248000000.000,3144000000.000,3168000000.000,2898000000.000,3578000000.000,2956000000.000,2857000000.000,2704000000.000,3040000000.000,3492000000.000,3239000000.000
AccountsPayableCurrent,,,,,,,,,,,449000000.000,,,,352000000.000,,,,303000000.000,,,,498000000.000,
AccountsReceivableNetCurrent,,,,1250000000.000,1283000000.000,1451000000.000,,1562000000.000,1581000000.000,1650000000.000,1264000000.000,1276000000.000,1280000000.000,1337000000.000,1350000000.000,1337000000.000,1264000000.000,1440000000.000,1230000000.000,1308000000.000,1243000000.000,1409000000.000,1508000000.000,1515000000.000
AccrualForEnvironmentalLossContingencies,,,,,533000000.000,480000000.000,,450000000.000,440000000.000,444000000.000,,427000000.000,416000000.000,414000000.000,,395000000.000,388000000.000,379000000.000,,,,,,
AccruedEmployeeBenefitsCurrent,,,,,,,,,,,820000000.000,,,,788000000.000,,,,770000000.000,,,,775000000.000,
AccruedEnvironmentalLossContingenciesCurrent,,,,,80000000.000,70000000.000,,70000000.000,75000000.000,80000000.000,60000000.000,55000000.000,55000000.000,65000000.000,60000000.000,60000000.000,65000000.000,55000000.000,50000000.000,,,,40000000.000,
AccruedInvestmentIncomeReceivable,,,,,,,,,,,1000000.000,,,,1000000.000,,,,1000000.000,,,,1000000.000,
AccruedRentCurrent,,,,,,,,,,,162000000.000,,,,158000000.000,,,,111000000.000,,,,117000000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,897000000.000,1056000000.000,1233000000.000,1277000000.000,1440000000.000,,1717000000.000,1801000000.000,1921000000.000,2231000000.000,2630000000.000,2902000000.000,3197000000.000,3547000000.000,4177000000.000,4411000000.000,4635000000.000,4864000000.000,5152000000.000,5386000000.000,5669000000.000,6124000000.000,7576000000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,0.000,0.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,209000000.000,207000000.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,-211000000.000,-213000000.000,-211000000.000,,-244000000.000,-240000000.000,-237000000.000,245000000.000,248000000.000,248000000.000,248000000.000,-2000000.000,-3000000.000,-3000000.000,-3000000.000,48000000.000,46000000.000,47000000.000,46000000.000,119000000.000,117000000.000
Assets,,,,69462000000.000,70007000000.000,70591000000.000,,71023000000.000,71604000000.000,72235000000.000,73461000000.000,73529000000.000,74319000000.000,75911000000.000,76477000000.000,76740000000.000,77816000000.000,78843000000.000,79892000000.000,79998000000.000,80760000000.000,81437000000.000,81775000000.000,82271000000.000
AssetsCurrent,,,,2869000000.000,2867000000.000,2976000000.000,,2900000000.000,2959000000.000,2948000000.000,3228000000.000,2853000000.000,2869000000.000,3515000000.000,3436000000.000,3058000000.000,3245000000.000,3118000000.000,3125000000.000,2824000000.000,2941000000.000,3256000000.000,3181000000.000,3502000000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,1109000000.000,,,,960000000.000,,,,837000000.000,,,,655000000.000,
