,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04
AccountsPayableCurrent,13495000.000,15143000.000,10767000.000,13817000.000,12559000.000,12178000.000,16130000.000,16120000.000,19959000.000,22881000.000,18576000.000,19322000.000,17599000.000,15923000.000,18239000.000,15948000.000,12662000.000,16432000.000,20969000.000
AccountsReceivableNetCurrent,57213000.000,56813000.000,60719000.000,55234000.000,59292000.000,70263000.000,67193000.000,61288000.000,70471000.000,67202000.000,67950000.000,66990000.000,71418000.000,77220000.000,68648000.000,62468000.000,72847000.000,70209000.000,79915000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,41562000.000,42358000.000,43423000.000,45389000.000,45873000.000,46899000.000,41874000.000,43438000.000,45431000.000,47702000.000,49272000.000,51517000.000,52928000.000,54151000.000,51775000.000,52806000.000,54997000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-1660000.000,-1519000.000,-1465000.000,-1674000.000,-1664000.000,-1637000.000,-1039000.000,-603000.000,-1141000.000,-923000.000,-1148000.000,710000.000,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-2365000.000,-1516000.000,-1175000.000,-18248000.000,-16369000.000,-14738000.000,-16204000.000,-15016000.000,-13928000.000,-16216000.000,-15604000.000,-14388000.000,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-4025000.000,-3035000.000,-2640000.000,-19922000.000,-18033000.000,-16375000.000,-17243000.000,-15619000.000,-15069000.000,-17139000.000,-16752000.000,-13678000.000,-12503000.000,-12455000.000,-13232000.000,-17078000.000,-22022000.000,-19284000.000,-17900000.000
AdditionalPaidInCapitalCommonStock,606782000.000,598541000.000,582199000.000,589816000.000,578293000.000,586434000.000,594349000.000,600295000.000,577448000.000,597593000.000,607370000.000,598402000.000,621589000.000,625085000.000,626501000.000,617968000.000,614577000.000,628901000.000,652793000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1334000.000,1416000.000,1715000.000,1884000.000,2153000.000,2208000.000,1964000.000,2031000.000,2127000.000,2204000.000,2289000.000,1962000.000,2163000.000,2396000.000,1976000.000,1569000.000,1504000.000,1565000.000,1892000.000
Assets,837743000.000,805236000.000,664882000.000,707144000.000,680988000.000,715217000.000,743917000.000,776627000.000,698364000.000,708260000.000,732879000.000,758798000.000,791707000.000,789142000.000,786247000.000,800614000.000,763983000.000,765504000.000,817182000.000
AssetsCurrent,590067000.000,560129000.000,421096000.000,355067000.000,337265000.000,369912000.000,410473000.000,436923000.000,397057000.000,411411000.000,425830000.000,438402000.000,465667000.000,464891000.000,462065000.000,423727000.000,404492000.000,411072000.000,460921000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,,162522000.000,154499000.000,133945000.000
AvailableForSaleSecuritiesCurrent,391256000.000,353266000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,,,169504000.000,163204000.000,145482000.000,161282000.000,160188000.000,171403000.000,161516000.000,180752000.000,171419000.000,191323000.000,161251000.000,129718000.000,,,
AvailableForSaleSecuritiesDebtSecurities,,,,,166843000.000,160581000.000,143869000.000,159842000.000,159033000.000,170597000.000,160661000.000,180165000.000,170925000.000,190782000.000,160742000.000,129238000.000,161903000.000,153919000.000,133254000.000
AvailableForSaleSecuritiesDebtSecuritiesCurrent,,,182458000.000,153896000.000,150753000.000,144667000.000,132886000.000,148740000.000,148426000.000,160505000.000,150506000.000,176005000.000,166691000.000,186535000.000,156472000.000,124880000.000,157664000.000,149661000.000,129042000.000
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,,,19841000.000,15935000.000,16090000.000,15914000.000,10983000.000,11102000.000,10607000.000,10092000.000,10155000.000,4160000.000,4234000.000,4247000.000,4270000.000,4358000.000,4239000.000,4258000.000,4212000.000
AvailableForSaleSecuritiesNoncurrent,21379000.000,19723000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionContingentConsiderationAtFairValueCurrent,,,,,,,,4100000.000,4220000.000,6138000.000,6138000.000,7407000.000,,,,,,,
BusinessAcquisitionContingentConsiderationAtFairValueNoncurrent,,,,,,,,17900000.000,,,11694000.000,33138000.000,,,,,,,
BusinessCombinationContingentConsiderationLiabilityCurrent,,,,,,,,,,,,,,,,,14902000.000,5782000.000,5782000.000
