,2011-12-31
BenefitsLossesAndExpenses,997900000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,21300000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,800000.000
ComprehensiveIncomeNetOfTax,17000000.000
DeferredIncomeTaxExpenseBenefit,21000000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,-5900000.000
EarlyRepaymentOfSeniorDebt,161600000.000
GainLossOnInvestments,8700000.000
GeneralAndAdministrativeExpense,4000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,82900000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,54300000.000
IncomeTaxExpenseBenefit,28600000.000
IncreaseDecreaseInLossAndLossAdjustmentExpenseReserve,-140400000.000
IncreaseDecreaseInOtherOperatingCapitalNet,68800000.000
IncreaseDecreaseInPremiumsReceivable,-29400000.000
IncreaseDecreaseInPrepaidReinsurancePremiums,-103200000.000
IncreaseDecreaseInReinsurancePayables,-125900000.000
IncreaseDecreaseInReinsuranceRecoverable,246300000.000
IncreaseDecreaseInUnearnedPremiums,-55600000.000
InterestExpenseDebt,20700000.000
NetCashProvidedByUsedInFinancingActivities,-183500000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-183500000.000
NetCashProvidedByUsedInInvestingActivities,349300000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,349300000.000
NetCashProvidedByUsedInOperatingActivities,-144500000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-145300000.000
NetIncomeLossAttributableToNoncontrollingInterest,1000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,28200000.000
NetInvestmentIncome,67300000.000
OtherUnderwritingExpense,173300000.000
PaymentsForProceedsFromShortTermInvestments,124900000.000
PaymentsOfDividendsCommonStock,34400000.000
PaymentsToAcquireOtherInvestments,10800000.000
PolicyholderBenefitsAndClaimsIncurredNet,580900000.000
PremiumsEarnedNet,1015500000.000
ProceedsFromSaleAndMaturityOfOtherInvestments,38600000.000
ProceedsFromShortTermCapitalLeaseObligations,23100000.000
ProfitLoss,29200000.000
Revenues,1080800000.000
SalesRevenueNet,1013500000.000
