,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,,,,,,,,,,,,,,,22714335.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-15694.000,-235150.000,104811.000,562678.000,325257.000,-718328.000,-220698.000,-265569.000,-236523.000,535137.000,105674.000,149192.000,112896.000,-284832.000,-53558.000,-107511.000,-146686.000,,18190.000
CostOfGoodsSold,7600.000,4155.000,0.000,-311450.000,32528.000,20999.000,,,,24333.000,,,,1485.000,33911.000,,54483.000,33133.000,12835.000,72322.000,8066.000
CostsAndExpenses,1140642.000,1294293.000,960244.000,419519.000,1032986.000,990302.000,1074936.000,857362.000,1037289.000,969826.000,1082359.000,1057400.000,968374.000,942553.000,2932405.000,-455436.000,958214.000,822670.000,805524.000,842842.000,689716.000
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,,,,,,,,,,,,,,-20521.000,,,,,,
DepreciationAndAmortization,177976.000,178920.000,223960.000,219360.000,213762.000,221035.000,229091.000,235187.000,197730.000,190128.000,184988.000,168057.000,144311.000,138800.000,412824.000,-180712.000,90532.000,77417.000,69536.000,,40734.000
IncreaseDecreaseInNotesPayableRelatedParties,,,,,,,,,,,,,,,-14750000.000,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,480000.000,459325.000,143499.000,152477.000,144838.000,-309118.000,-251.000,-1610.000,-4746.000,25946.000,-4500.000,-7515.000,7915.000,28599.000,9200.000,-13200.000,-19525.000,,-6250.000
InterestExpense,-353718.000,-298060.000,298966.000,299235.000,305062.000,312246.000,290164.000,290165.000,289726.000,289945.000,290164.000,294768.000,294658.000,,294967.000,,,,,,
LicensesRevenue,267497.000,319698.000,507973.000,503569.000,816624.000,724929.000,846856.000,915247.000,896994.000,914813.000,927764.000,939057.000,973398.000,896674.000,2610572.000,-1293508.000,672806.000,581841.000,632761.000,616112.000,584543.000
NetCashProvidedByUsedInFinancingActivities,,,968514.000,968558.000,500000.000,1000000.000,1000000.000,-1500000.000,,,,,750.000,750.000,750.000,-1500.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,968514.000,968558.000,500000.000,1000000.000,1000000.000,-1500000.000,,,,,750.000,750.000,750.000,-1500.000,,,,,
NetCashProvidedByUsedInInvestingActivities,,,-727403.000,-778886.000,-176755.000,-259524.000,-474868.000,206075.000,-52182.000,-161691.000,-229010.000,18438.000,-30382.000,2090.000,127323.000,75183.000,-9182.000,-26452.000,-47474.000,,185171.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-727403.000,-778886.000,-176755.000,-259524.000,-474868.000,206075.000,-52182.000,-161691.000,-229010.000,18438.000,-30382.000,2090.000,127323.000,75183.000,-9182.000,-26452.000,-47474.000,,185171.000
NetCashProvidedByUsedInOperatingActivities,,,-256805.000,-424822.000,-218434.000,-177798.000,-199875.000,575597.000,-168516.000,-103878.000,-7513.000,272699.000,135306.000,146352.000,-15177.000,-353515.000,-44376.000,-81059.000,-99212.000,,-166981.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-256805.000,-424822.000,-218434.000,-177798.000,-199875.000,575597.000,-168516.000,-103878.000,-7513.000,272699.000,135306.000,146352.000,-15177.000,-353515.000,-44376.000,-81059.000,-99212.000,,-166981.000
NetIncomeLoss,-1099214.000,-1220565.000,-692016.000,-166703.000,-453424.000,-517619.000,-518216.000,-221785.000,-402870.000,-288158.000,-441679.000,-406999.000,-284288.000,13485.000,-380145.000,28142.000,-284340.000,-114959.000,-112743.000,,95040.000
OperatingIncomeLoss,-816162.000,-968076.000,-452271.000,133130.000,-148362.000,-205373.000,-228052.000,61085.000,-113144.000,1787.000,-151515.000,-118157.000,10370.000,7061.000,-91602.000,-260092.000,-284340.000,-114959.000,-112743.000,118970.000,95040.000
