,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AssetImpairmentCharges,,,,,,,,,,,,,,,1268000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-144000.000,,,,-2282000.000,,,,655000.000,,,,-553000.000,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,-10000.000,-7000.000
ConstructionInProgressExpendituresIncurredButNotYetPaid,,,,,,,38000.000,,,,18000.000,,,,10000.000,,
DepreciationAndAmortization,370000.000,374000.000,273000.000,280000.000,284000.000,273000.000,263000.000,254000.000,257000.000,242000.000,242000.000,88000.000,89000.000,-66000.000,,,
DepreciationDepletionAndAmortization,,,,,,,,,,,250000.000,,,,156000.000,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,,,-16000.000,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,,6798000.000,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,,,,76000.000,-41000.000,,,-205000.000,-23000.000
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,,,,,,,,,156000.000,4000.000,,88000.000,29000.000,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,,,10000.000,5000.000,,5000.000,2000.000,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,,,,,,,,,111000.000,,,187000.000,103000.000,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,,,,,,,,342000.000,27000.000,,1480000.000,135000.000,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,,,,,187000.000,-41000.000,,-1159000.000,-102000.000,
DisposalGroupIncludingDiscontinuedOperationOtherExpense,,,,,,,,,,,,,,,1268000.000,74000.000,
DisposalGroupIncludingDiscontinuedOperationOtherIncome,,,,,,,,,,,,-111000.000,,,-187000.000,-103000.000,
DisposalGroupIncludingDiscontinuedOperationRentalIncome,,,,,,,,,,,,529000.000,-14000.000,,321000.000,33000.000,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,529000.000,-14000.000,,321000.000,33000.000,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,-1134000.000,-468000.000,,191000.000,,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,3377000.000,3303000.000,,4726000.000,,,,,,,,,,
ExtinguishmentOfDebtGainLossNetOfTax,,,1533000.000,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,1533000.000,,,,,,,,,,,,,,
