,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccountsPayableCurrent,48000.000,75000.000,413000.000,259000.000,165000.000,227000.000,206000.000,219000.000
AccountsReceivableGrossCurrent,,,,,,,362000.000,
AccountsReceivableNetCurrent,157000.000,150000.000,143000.000,4000.000,512000.000,317000.000,325000.000,339000.000
AccrualForEnvironmentalLossContingencies,,,,,2300000.000,2300000.000,,2300000.000
AccruedEnvironmentalLossContingenciesNoncurrent,2716000.000,2711000.000,2705000.000,2698000.000,2326000.000,2319000.000,2316000.000,2312000.000
AccruedLiabilitiesCurrent,655000.000,736000.000,628000.000,551000.000,702000.000,775000.000,1351000.000,1143000.000
AccruedProfessionalFeesCurrent,,,,,,,533000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,4830000.000,
AllowanceForDoubtfulAccountsReceivable,,,,,,,37000.000,
AllowanceForDoubtfulAccountsReceivableCurrent,38000.000,38000.000,37500.000,38000.000,38000.000,38000.000,38000.000,38000.000
AssetRetirementObligationsNoncurrent,2340000.000,2340000.000,2340000.000,2340000.000,2340000.000,2340000.000,2340000.000,2340000.000
Assets,28830000.000,28641000.000,27056000.000,25913000.000,33975000.000,33270000.000,30534000.000,29463000.000
AssetsCurrent,5684000.000,5702000.000,4400000.000,3734000.000,17015000.000,15495000.000,13523000.000,12733000.000
AvailableForSaleSecuritiesCurrent,3367000.000,2684000.000,2703000.000,2224000.000,2241000.000,7632000.000,8254000.000,6891000.000
AvailableForSaleSecuritiesNoncurrent,,,,,,892000.000,203000.000,
BuildingsAndImprovementsGross,,,,,,,3285000.000,
CashAndCashEquivalentsAtCarryingValue,315000.000,1176000.000,804000.000,756000.000,13484000.000,6764000.000,4162000.000,4721000.000
CertificatesOfDepositAtCarryingValue,,,,,28000.000,,,
DeferredRevenueLeasesNetNoncurrent,2000.000,,,,,,,
DepositsAssetsNoncurrent,,25000.000,24000.000,23000.000,24000.000,24000.000,27000.000,26000.000
DueFromRelatedPartiesNoncurrent,100000.000,111000.000,12000.000,68000.000,,,,
EmployeeRelatedLiabilitiesCurrent,,,,,,,800000.000,
EquityMethodInvestments,5793000.000,5630000.000,5526000.000,5074000.000,,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,13843000.000,13843000.000,13843000.000,13843000.000,13843000.000,13843000.000,13843000.000,13843000.000
Land,2465000.000,2465000.000,2465000.000,2465000.000,2465000.000,2465000.000,2465000.000,2465000.000
Liabilities,11539000.000,11640000.000,11864000.000,11626000.000,11311000.000,11439000.000,11991000.000,11792000.000
LiabilitiesAndStockholdersEquity,28830000.000,28641000.000,27056000.000,25913000.000,33975000.000,33270000.000,30534000.000,29463000.000
LiabilitiesCurrent,1893000.000,2001000.000,2231000.000,2000000.000,2057000.000,2192000.000,2747000.000,2552000.000
LiabilitiesNoncurrent,9646000.000,9639000.000,9633000.000,9626000.000,9254000.000,9247000.000,9244000.000,9240000.000
MachineryAndEquipmentGross,,,,,,,1868000.000,
MinorityInterest,1963000.000,2104000.000,2057000.000,2026000.000,2015000.000,2004000.000,1985000.000,1971000.000
OtherAccruedLiabilitiesCurrent,,,,,,,18000.000,
OtherAccruedLiabilitiesNoncurrent,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000
OtherAssetsNoncurrent,945000.000,890000.000,810000.000,729000.000,652000.000,575000.000,500000.000,422000.000
OtherReceivablesGrossCurrent,,,,,,,300000.000,
PrepaidExpenseNoncurrent,600000.000,525000.000,450000.000,375000.000,300000.000,225000.000,150000.000,75000.000
PrepaidInsurance,,,,,,,62000.000,
PropertyPlantAndEquipmentGross,,,,,,,5153000.000,
PropertyPlantAndEquipmentNet,,,,,,,323000.000,
RestrictedCashAndCashEquivalentsAtCarryingValue,750000.000,750000.000,750000.000,750000.000,778000.000,782000.000,782000.000,782000.000
StockholdersEquity,15328000.000,14897000.000,13135000.000,12261000.000,20649000.000,19827000.000,16558000.000,15700000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,17291000.000,17001000.000,15192000.000,14287000.000,22664000.000,21831000.000,18543000.000,17671000.000
VariableInterestEntityConsolidatedCarryingAmountAssets,,,,,2568000.000,2556000.000,687000.000,635000.000
