,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AccountsPayableCurrent,176500000.000,214700000.000,196800000.000,190000000.000,169700000.000,180600000.000,206500000.000,224400000.000,146200000.000,146900000.000,196000000.000,219000000.000,207000000.000,203000000.000,260000000.000,255000000.000,229000000.000,210000000.000,207000000.000,206000000.000,195000000.000,151000000.000,192000000.000,159000000.000,158000000.000,147700000.000
AccountsReceivableNetCurrent,338100000.000,442800000.000,388100000.000,633500000.000,440200000.000,547200000.000,395300000.000,606800000.000,383900000.000,458100000.000,349000000.000,577000000.000,425000000.000,588000000.000,357000000.000,641000000.000,416000000.000,655000000.000,390000000.000,594000000.000,473000000.000,517000000.000,338000000.000,490000000.000,285000000.000,450200000.000
AccruedIncomeTaxesCurrent,39900000.000,8900000.000,51000000.000,123100000.000,142800000.000,71900000.000,65100000.000,35100000.000,89300000.000,43200000.000,71000000.000,22000000.000,49000000.000,77000000.000,96000000.000,56000000.000,132000000.000,27000000.000,35000000.000,16000000.000,55000000.000,33000000.000,22000000.000,20000000.000,38000000.000,29500000.000
AccruedLiabilitiesCurrent,,,176100000.000,186100000.000,168300000.000,175700000.000,163700000.000,172400000.000,189500000.000,172300000.000,174000000.000,177000000.000,190000000.000,183000000.000,182000000.000,202000000.000,202000000.000,183000000.000,194000000.000,203000000.000,249000000.000,186000000.000,182000000.000,188000000.000,209000000.000,188000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,1075800000.000,1106100000.000,1137900000.000,1174400000.000,1210600000.000,1263800000.000,1312600000.000,1321300000.000,1366000000.000,1424000000.000,1479000000.000,1526000000.000,1584000000.000,1616000000.000,1659000000.000,1679000000.000,1749000000.000,1780000000.000,1840000000.000,1904000000.000,1952000000.000,1995000000.000,2000000000.000,2020700000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,800000.000,,,,4700000.000,0.000,0.000,0.000,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,-6200000.000,,,,7500000.000,7000000.000,7000000.000,7000000.000,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,250800000.000,,,,73300000.000,71000000.000,121000000.000,115000000.000,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,182000000.000,215800000.000,240000000.000,247400000.000,206700000.000,196600000.000,161400000.000,197500000.000,160800000.000,93600000.000,82000000.000,114000000.000,104000000.000,114000000.000,113000000.000,40000000.000,-22000000.000,-165000000.000,-154000000.000,-167000000.000,-200000000.000,-181000000.000,-192000000.000,-180000000.000,-223000000.000,-198400000.000
AdditionalPaidInCapitalCommonStock,1394200000.000,1444700000.000,1476400000.000,1529400000.000,1567000000.000,1624000000.000,1668100000.000,1719600000.000,1760200000.000,1752000000.000,1797000000.000,1884000000.000,1952000000.000,1979000000.000,2017000000.000,2056000000.000,2089000000.000,2117000000.000,2170000000.000,2199000000.000,2236000000.000,2258000000.000,2259000000.000,2284000000.000,2299000000.000,2308800000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,17700000.000,,,,,,,,,,,,,,,,,,,,,,,
Assets,5008600000.000,4981100000.000,4960200000.000,5328400000.000,5326500000.000,5416400000.000,5194100000.000,5523500000.000,5489200000.000,5418200000.000,5460000000.000,6266000000.000,6060000000.000,6090000000.000,6130000000.000,6398000000.000,6344000000.000,6106000000.000,6068000000.000,6443000000.000,6341000000.000,6213000000.000,6118000000.000,6067000000.000,5966000000.000,5652000000.000
AssetsCurrent,2513100000.000,2478000000.000,2515700000.000,2773900000.000,2826500000.000,2899900000.000,2719300000.000,3003000000.000,3002000000.000,2962800000.000,3084000000.000,3558000000.000,3342000000.000,3329000000.000,3321000000.000,3560000000.000,3519000000.000,3324000000.000,3304000000.000,3580000000.000,3452000000.000,3053000000.000,3002000000.000,2976000000.000,3034000000.000,2954500000.000
AssetsFairValueDisclosureRecurring,,,,,,,,,,,,,,11000000.000,9000000.000,46000000.000,77000000.000,95000000.000,80000000.000,61000000.000,53000000.000,30000000.000,40000000.000,35000000.000,86000000.000,32600000.000
AvailableForSaleSecurities,,,38900000.000,183200000.000,227100000.000,326400000.000,339100000.000,248500000.000,244500000.000,221700000.000,20000000.000,34000000.000,16000000.000,3000000.000,2000000.000,2000000.000,0.000,,,,,,,,,
AvailableForSaleSecuritiesCurrent,,,12000000.000,90900000.000,155200000.000,226500000.000,257000000.000,163600000.000,155500000.000,140700000.000,11000000.000,27000000.000,11000000.000,1000000.000,0.000,0.000,0.000,,,,,,,,,
AvailableForSaleSecuritiesNoncurrent,,,26900000.000,92300000.000,71900000.000,99900000.000,82100000.000,84900000.000,89000000.000,81000000.000,9000000.000,7000000.000,5000000.000,2000000.000,2000000.000,2000000.000,0.000,,,,,,,,,
BuildingsAndImprovementsGross,,,117600000.000,118400000.000,117400000.000,115900000.000,116300000.000,117600000.000,114500000.000,130400000.000,130000000.000,176000000.000,181000000.000,183000000.000,185000000.000,412000000.000,409000000.000,409000000.000,408000000.000,454000000.000,456000000.000,460000000.000,474000000.000,460000000.000,456000000.000,457200000.000
CapitalLeaseObligations,,,,,,38300000.000,,,,38400000.000,,,,255000000.000,256000000.000,,,238000000.000,,,,266000000.000,,,,250900000.000
CapitalLeaseObligationsCurrent,,,,,,,,,,,,,,16000000.000,18000000.000,18000000.000,20000000.000,19000000.000,19000000.000,20000000.000,20000000.000,21000000.000,22000000.000,22000000.000,22000000.000,22600000.000
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,263000000.000,258000000.000,,,249000000.000,243000000.000,,222000000.000,274000000.000,269000000.000,,264000000.000,259000000.000,252000000.000,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,,,,,,,259000000.000,,,,251000000.000,,,,278000000.000,,,,264900000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,69500000.000,,,,64400000.000,,,,216000000.000,,,,190000000.000,,,,245000000.000,,,,223000000.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,6800000.000,,,,8100000.000,,,,24000000.000,,,,26000000.000,,,,30000000.000,,,,29800000.000
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,6800000.000,,,,6600000.000,,,,23000000.000,,,,24000000.000,,,,27000000.000,,,,24900000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,6800000.000,,,,7300000.000,,,,23000000.000,,,,22000000.000,,,,28000000.000,,,,28300000.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,6800000.000,,,,7900000.000,,,,24000000.000,,,,24000000.000,,,,26000000.000,,,,30500000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,6800000.000,,,,7900000.000,,,,24000000.000,,,,25000000.000,,,,28000000.000,,,,28300000.000
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,35500000.000,,,,26600000.000,,,,98000000.000,,,,69000000.000,,,,106000000.000,,,,81200000.000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,,,,29800000.000,,,,46000000.000,,,,34000000.000,,,,59000000.000,,,,49500000.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,,,,34600000.000,,,,170000000.000,,,,156000000.000,,,,186000000.000,,,,173500000.000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,14000000.000,,,,16000000.000,,,,19000000.000,,,,30000000.000,,,,53000000.000,,,,77600000.000
CapitalizedComputerSoftwareGross,,,183800000.000,185400000.000,186800000.000,213600000.000,226500000.000,242200000.000,245700000.000,252100000.000,322000000.000,331000000.000,348000000.000,366000000.000,372000000.000,378000000.000,381000000.000,402000000.000,422000000.000,438000000.000,445000000.000,460000000.000,472000000.000,489000000.000,540000000.000,549000000.000
CashAndCashEquivalentsAtCarryingValue,643400000.000,453000000.000,431500000.000,407700000.000,815800000.000,671600000.000,468500000.000,543700000.000,999100000.000,973700000.000,940000000.000,839000000.000,882000000.000,797000000.000,711000000.000,483000000.000,763000000.000,500000000.000,490000000.000,380000000.000,527000000.000,456000000.000,457000000.000,434000000.000,928000000.000,668300000.000
CommercialPaper,,,,,,,,,,,,,,,0.000,210000000.000,113000000.000,234000000.000,155000000.000,130000000.000,15000000.000,90000000.000,90000000.000,95000000.000,0.000,0.000
ConstructionInProgressGross,,,37000000.000,46100000.000,56700000.000,84900000.000,66300000.000,94900000.000,108700000.000,136900000.000,87000000.000,331000000.000,308000000.000,312000000.000,326000000.000,87000000.000,81000000.000,99000000.000,103000000.000,147000000.000,171000000.000,216000000.000,209000000.000,235000000.000,134000000.000,33400000.000
ContractualObligation,,,,,,,,,,,,,,1381000000.000,,,,1034000000.000,,,,1151000000.000,,,,854800000.000
DebtInstrumentCarryingAmount,,,296700000.000,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,,,,,,,,,,,,,,
DebtLongtermAndShorttermCombinedAmount,,,,,,,,,,,,,,,,510000000.000,413000000.000,532000000.000,452000000.000,727000000.000,611000000.000,713000000.000,692000000.000,692000000.000,589000000.000,588200000.000
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,,,,,,,,,,,,,,,,,,,,11000000.000,11000000.000,,9000000.000,,,
DeferredCompensationLiabilityClassifiedNoncurrent,,,,,,,,,,,,,29000000.000,29000000.000,43000000.000,42000000.000,9000000.000,9000000.000,9000000.000,9000000.000,8000000.000,8000000.000,8000000.000,8000000.000,8000000.000,7800000.000
DeferredCompensationPlanAssets,,,,,,,,,,,,,,20000000.000,,33000000.000,0.000,0.000,,,,,,,,
DeferredRentAssetNetCurrent,,,,,,,,,,,,23000000.000,,,,,,,,,,,,,,
