,2011-06-30
AssetRetirementObligationAccretionExpense,3996.000
CostsAndExpenses,289316.000
DepreciationDepletionAndAmortization,124945.000
GainLossOnDerivativeInstrumentsNetPretax,59503.000
GeneralAndAdministrativeExpense,39771.000
InterestIncomeDomesticDeposits,1.000
NetIncomeLossAllocatedToGeneralPartners,-6008.000
NetIncomeLossAllocatedToLimitedPartners,-24033.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-27.000
OilAndGasProductionExpense,120604.000
OilAndGasSalesRevenue,199771.000
OperatingIncomeLoss,-30042.000
ProfitLoss,-30041.000
Revenues,259274.000
SalesRevenueNet,259274.000
