,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31
AccountsPayableAndAccruedLiabilitiesCurrent,17448.000,18316.000,5698.000,3895.000,15060.000,200.000,200.000
AdditionalPaidInCapital,396406.000,391218.000,394218.000,,394218.000,394218.000,394218.000
AdditionalPaidInCapitalCommonStock,,,,394218.000,,,
Assets,281655.000,249897.000,215130.000,180209.000,163989.000,132090.000,113507.000
AssetsCurrent,281655.000,249897.000,204800.000,169879.000,153659.000,,113507.000
Cash,,,,,,116397.000,107682.000
CashAndCashEquivalentsAtCarryingValue,279326.000,246776.000,199484.000,165937.000,146427.000,116397.000,107682.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,25940000.000,77820000.000,47820000.000,47820000.000,47820000.000,47820000.000,47820000.000
CommonStockSharesOutstanding,,77820000.000,47820000.000,47820000.000,47820000.000,47820000.000,47820000.000
CommonStockValue,2594.000,7782.000,4782.000,4782.000,4782.000,4782.000,4782.000
Deposits,,,-10330.000,-10330.000,,,
DepositsAssetsNoncurrent,,,,,10330.000,10330.000,0.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,-250071.000,-267110.000,-285693.000
LiabilitiesAndStockholdersEquity,281655.000,249897.000,215130.000,180209.000,163989.000,132090.000,113507.000
LiabilitiesCurrent,17448.000,18316.000,5698.000,3895.000,15060.000,,200.000
PrepaidExpenseCurrent,2329.000,3121.000,5316.000,3942.000,7232.000,5363.000,5825.000
ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,0.000,0.000,0.000,0.000,,,
RetainedEarningsAccumulatedDeficit,-134793.000,-167419.000,-189568.000,-222686.000,,,
StockholdersEquity,264207.000,231581.000,209432.000,176314.000,148929.000,131890.000,113307.000
