,2012-06-30,2012-12-31,2013-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,-6275.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-5250.000,
NetCashProvidedByUsedInContinuingOperations,,-10350.000,
NetCashProvidedByUsedInFinancingActivities,,4075.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,4075.000,
NetIncomeLoss,-2750.000,-5100.000,-2000.000
NetIncomeLossAvailableToCommonStockholdersBasic,0.000,-0.000,0.000
OperatingExpenses,2750.000,5100.000,2000.000
ProceedsFromContributedCapital,,4075.000,
WeightedAverageNumberOfSharesIssuedBasic,25000000.000,25000000.000,25000000.000
