,2011-09-30
AccountsPayable,101000.000
AccountsReceivableNet,192000.000
Assets,17567000.000
BuildingsAndImprovementsGross,41322000.000
CashEquivalentsAtCarryingValue,89000.000
DueToAffiliate,8641000.000
GeneralPartnersCapitalAccount,-1631000.000
Land,3659000.000
Liabilities,36143000.000
LiabilitiesAndPartnersCapital,17567000.000
LimitedPartnersCapitalAccount,-16945000.000
LongTermDebtComponentsMortgageLoans,26442000.000
OtherAssets,504000.000
OtherLiabilities,372000.000
PartnersCapital,-18576000.000
RealEstateAccumulatedDepreciation,-28301000.000
RealEstateInvestmentPropertyAtCost,44981000.000
RealEstateInvestmentPropertyNet,16680000.000
ReplacementReserveEscrow,102000.000
SecurityDepositLiability,116000.000
TaxesPayable,471000.000
