,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
GainLossOnDiscontinuationOfCashFlowHedgeDueToForecastedTransactionProbableOfNotOccurringNet,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,7000000.000,-25000000.000,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnForeignCurrencyFairValueHedgeDerivatives,,3000000.000,-4000000.000,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnPriceRiskCashFlowHedgeIneffectiveness,,,,,,,,,,,,,-7000000.000,3000000.000,3000000.000,,2000000.000,,,,,,,,,
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,,,,,,,0.000,2000000.000,,,,-2000000.000,,-6000000.000,5000000.000,-14000000.000,-7000000.000,2000000.000,5000000.000,-4000000.000,-17000000.000,6000000.000,0.000
GainsLossesOnExtinguishmentOfDebt,-30000000.000,-2000000.000,0.000,64000000.000,0.000,0.000,0.000,0.000,-38000000.000,0.000,0.000,-3000000.000,0.000,0.000,-34000000.000,0.000,,-9000000.000,0.000,,-27000000.000,0.000,-10000000.000,0.000,0.000,-7000000.000
GrossProfit,292000000.000,371000000.000,396000000.000,289000000.000,287000000.000,340000000.000,369000000.000,281000000.000,299000000.000,375000000.000,394000000.000,274000000.000,297000000.000,376000000.000,422000000.000,287000000.000,286000000.000,373000000.000,415000000.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,210000000.000,245000000.000,,122000000.000,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,83000000.000,210000000.000,245000000.000,49000000.000,122000000.000,208000000.000,231000000.000,75000000.000,93000000.000,209000000.000,195000000.000,79000000.000,79000000.000,177000000.000,225000000.000,35000000.000,99000000.000,202000000.000,208000000.000,130000000.000,137000000.000,250000000.000,254000000.000,128000000.000,179000000.000,201000000.000
IncomeLossFromEquityMethodInvestments,,,1000000.000,,,,2000000.000,,-2000000.000,1000000.000,-1000000.000,2000000.000,0.000,0.000,0.000,0.000,,,,,,,,,,
IncomeTaxExpenseBenefit,41000000.000,54000000.000,87000000.000,12000000.000,32000000.000,51000000.000,-111000000.000,11000000.000,24000000.000,55000000.000,67000000.000,2000000.000,33000000.000,50000000.000,-41000000.000,-1000000.000,37000000.000,49000000.000,48000000.000,44000000.000,38000000.000,65000000.000,48000000.000,35000000.000,46000000.000,53000000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,2000000.000,-13000000.000,,2000000.000,1000000.000,45000000.000,8000000.000,2000000.000,-1000000.000,-1000000.000,1000000.000,5000000.000,5000000.000,-91000000.000,11000000.000,3000000.000,2000000.000,2000000.000,14000000.000,2000000.000,0.000,-27000000.000,11000000.000,3000000.000,0.000
IncomeTaxReconciliationChangeInEnactedTaxRate,,0.000,28000000.000,,,0.000,2000000.000,,,,18000000.000,,,,0.000,,,,,,,,,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,-23000000.000,-9000000.000,,-11000000.000,-22000000.000,-23000000.000,-14000000.000,-10000000.000,-21000000.000,-21000000.000,-1000000.000,-17000000.000,-27000000.000,-30000000.000,7000000.000,-12000000.000,-27000000.000,-27000000.000,-8000000.000,-14000000.000,-27000000.000,-30000000.000,-17000000.000,-21000000.000,-21000000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,74000000.000,86000000.000,,43000000.000,73000000.000,81000000.000,26000000.000,33000000.000,73000000.000,68000000.000,29000000.000,28000000.000,62000000.000,78000000.000,13000000.000,35000000.000,70000000.000,73000000.000,46000000.000,48000000.000,88000000.000,89000000.000,44000000.000,63000000.000,70000000.000
IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,,,,,,,,,,,,,15000000.000,0.000,0.000,3000000.000,1000000.000,0.000,0.000,-1000000.000,0.000,,,,,
IncomeTaxReconciliationOtherAdjustments,,1000000.000,-5000000.000,,-2000000.000,-1000000.000,-216000000.000,-9000000.000,-1000000.000,4000000.000,3000000.000,-20000000.000,2000000.000,10000000.000,2000000.000,-18000000.000,3000000.000,3000000.000,0.000,-3000000.000,2000000.000,3000000.000,8000000.000,-8000000.000,-2000000.000,2000000.000
IncomeTaxReconciliationTaxContingencies,,,,,,,,,,,,,,,,,7000000.000,1000000.000,0.000,,0.000,1000000.000,8000000.000,2000000.000,3000000.000,2000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-22000000.000,,,,-249000000.000,,,,-208000000.000,,,,-281000000.000,,,,-262000000.000,,,,-265000000.000,,,,-324000000.000,
IncreaseDecreaseInInventories,260000000.000,,,,140000000.000,,,,205000000.000,,,,154000000.000,,,,144000000.000,,,,180000000.000,,,,151000000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,-5000000.000,,,,34000000.000,,,,15000000.000,,,,39000000.000,,,,44000000.000,,,,19000000.000,,,,-7000000.000,
IncreaseDecreaseInReceivables,163000000.000,,,,114000000.000,,,,118000000.000,,,,157000000.000,,,,-25000000.000,,,,93000000.000,,,,36000000.000,
InterestExpense,56000000.000,60000000.000,58000000.000,58000000.000,58000000.000,55000000.000,57000000.000,56000000.000,60000000.000,61000000.000,58000000.000,57000000.000,58000000.000,66000000.000,64000000.000,65000000.000,65000000.000,69000000.000,68000000.000,68000000.000,64000000.000,58000000.000,59000000.000,62000000.000,62000000.000,61000000.000
InterestIncomeExpenseNet,,,,,,,,,-58000000.000,-60000000.000,-57000000.000,-56000000.000,-56000000.000,-65000000.000,,,,,,,,,,,,
