,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-359144.000,,,,232398.000,,-79762.000
CostOfGoodsSoldOverhead,,,,,,,30000.000
EarningsPerShareBasicAndDiluted,-0.050,-0.060,-0.260,0.070,0.010,-0.160,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,0.350
FairValueAdjustmentOfWarrants,,,393750.000,,-472500.000,-315000.000,-2126250.000
GeneralAndAdministrativeExpense,154651.000,190693.000,486057.000,242134.000,452616.000,900353.000,884140.000
IncomeTaxesPaidNet,,,,,,,13510.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2664.000,,,,191255.000,,311941.000
IncreaseDecreaseInDueToAffiliatesCurrent,,,,,,,5172.000
IncreaseDecreaseInPrepaidExpense,207157.000,,,,-40898.000,,34002.000
InsuranceRecoveries,,,,,,,-42577.000
InterestIncomeExpenseNonoperatingNet,14916.000,12891.000,10089.000,9004.000,6118.000,5398.000,1456.000
NetCashProvidedByUsedInFinancingActivities,,,,,400000.000,,-35133850.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,400000.000,,-35133850.000
NetCashProvidedByUsedInInvestingActivities,-14916.000,,,,46743.000,,35587113.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-14916.000,,,,46743.000,,35587113.000
NetCashProvidedByUsedInOperatingActivities,-344228.000,,,,-214345.000,,-533025.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-344228.000,,,,-214345.000,,-533025.000
NetIncomeLoss,-139735.000,-177802.000,-869718.000,160620.000,26002.000,-579955.000,1243566.000
OperatingIncomeLoss,-154651.000,-190693.000,-486057.000,-242134.000,-452616.000,-900353.000,-884140.000
OtherExpenses,,,,,,,153289.000
ProceedsFromInterestReceived,,,,,,,3263.000
ProceedsFromIssuanceInitialPublicOffering,,,,,,,75000000.000
ProceedsFromSaleOfTrustAssetsToPayExpenses,,,,,,,35583850.000
ProfessionalFees,,,,,,,638674.000
SaleOfStockNumberOfSharesIssuedInTransaction,,,,,,,7875000.000
SponsorFees,10000.000,,,,10000.000,,10000.000
StockRedeemedOrCalledDuringPeriodValue,,,,,,,-35583850.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,2928453.000,2889927.000,3317957.000,-5757514.000,3569018.000,3567084.000,3703210.000
