,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,14000000.000,,,,-2000000.000,,,,
CommonStockDividendsPerShareDeclared,,,0.010,0.010,,,,,,
ComprehensiveIncomeNetOfTax,188000000.000,-100000000.000,-66000000.000,-102000000.000,-3277000000.000,-47000000.000,-137000000.000,548000000.000,-84000000.000,56000000.000
DeferredIncomeTaxExpenseBenefit,,-69000000.000,,,,-78000000.000,,,,
DefinedBenefitPlanContributionsByEmployer,0.000,0.000,3000000.000,0.000,,5000000.000,1000000.000,1000000.000,,4000000.000
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,,,,3000000.000,,,,3000000.000
DepreciationDepletionAndAmortization,304000000.000,253000000.000,251000000.000,253000000.000,247000000.000,147000000.000,138000000.000,137000000.000,137000000.000,140000000.000
DerivativeGainLossOnDerivativeNet,,,,,,,-118000000.000,-14000000.000,,73000000.000
EarningsPerShareBasic,,-0.260,-0.180,-0.270,-8.560,-0.130,-3.510,13.450,-3.050,1.230
EarningsPerShareBasicAndDiluted,0.490,,,,,,,,,
EarningsPerShareDiluted,,-0.260,-0.180,-0.270,-8.560,-0.130,-3.510,13.060,-2.660,1.220
EffectiveIncomeTaxRateContinuingOperations,,,,,,0.610,,,,
ExplorationAbandonmentAndImpairmentExpense,,6000000.000,,,,,,,,1000000.000
ExplorationExpense,25000000.000,17000000.000,7000000.000,5000000.000,7000000.000,5000000.000,5000000.000,3000000.000,10000000.000,6000000.000
GainLossOnDerivativeInstrumentsNetPretax,,-3000000.000,-17000000.000,53000000.000,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,21000000.000
GainLossOnRepurchaseOfDebtInstrument,,,,,,,,660000000.000,,4000000.000
GainLossOnSaleOfDerivatives,,,,,,56000000.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,319000000.000,-169000000.000,-114000000.000,-154000000.000,-5039000000.000,-128000000.000,-140000000.000,546000000.000,-77000000.000,52000000.000
