,2011-10-31,2012-10-31,2013-10-31,2014-10-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,392160.000,868619.000
Depreciation,,,,8127.000
EarningsPerShareBasicAndDiluted,-0.005,-0.010,-0.020,-0.007
GeneralAndAdministrativeExpense,,45689.000,112626.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-112626.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-34785.000,-45689.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,11388.000,-3534.000,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,-4515.000,8402.000
InterestIncomeOperating,,,,1.000
NetCashProvidedByUsedInFinancingActivities,64248.000,49223.000,509301.000,1411761.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,64248.000,49223.000,509301.000,1411761.000
NetCashProvidedByUsedInInvestingActivities,,,,-433154.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,-433154.000
NetCashProvidedByUsedInOperatingActivities,-64248.000,-49223.000,-117141.000,-109988.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-64248.000,-49223.000,-117141.000,-109988.000
NetIncomeLoss,-34785.000,-45689.000,-112626.000,-126517.000
OperatingExpenses,,,,126518.000
OperatingIncomeLoss,-75636.000,-45689.000,-112626.000,-126517.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,433154.000
ProceedsFromIssuanceOfPrivatePlacement,,,,1000000.000
ProceedsFromRelatedPartyDebt,64248.000,49223.000,122301.000,411761.000
SellingGeneralAndAdministrativeExpense,75636.000,,,126518.000
StockIssued1,,,-387000.000,
StockIssuedDuringPeriodValueIssuedForServices,,,,1000000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,6487500.000,7076541.000,16966952.000
