,2011-03-26,2011-06-25,2011-09-24,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-06-25,2016-09-24,2016-12-31,2017-04-01
AccountsPayableCurrent,13714000000.000,15270000000.000,14632000000.000,18221000000.000,17011000000.000,16808000000.000,21175000000.000,26398000000.000,14912000000.000,15516000000.000,22367000000.000,29588000000.000,18914000000.000,20535000000.000,30196000000.000,38001000000.000,23159000000.000,26474000000.000,35490000000.000,33312000000.000,25098000000.000,26318000000.000,37294000000.000,38510000000.000,28573000000.000
AccountsReceivableNetCurrent,5798000000.000,6102000000.000,5369000000.000,8930000000.000,7042000000.000,7657000000.000,10930000000.000,11598000000.000,7084000000.000,8839000000.000,13102000000.000,14200000000.000,9700000000.000,10788000000.000,17460000000.000,16709000000.000,10905000000.000,10370000000.000,16849000000.000,12953000000.000,12229000000.000,11714000000.000,15754000000.000,14057000000.000,11579000000.000
AccruedLiabilitiesCurrent,7022000000.000,7597000000.000,9247000000.000,11500000000.000,9778000000.000,10430000000.000,11414000000.000,13207000000.000,13331000000.000,13470000000.000,13856000000.000,15824000000.000,15984000000.000,15264000000.000,18453000000.000,22724000000.000,22827000000.000,22724000000.000,25181000000.000,24032000000.000,23208000000.000,20820000000.000,22027000000.000,23739000000.000,23096000000.000
AccruedMarketingCostsCurrent,,,,,561000000.000,581000000.000,910000000.000,815000000.000,769000000.000,1152000000.000,1291000000.000,1143000000.000,1403000000.000,1686000000.000,2321000000.000,1960000000.000,1384000000.000,1651000000.000,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,5094000000.000,5718000000.000,6435000000.000,7792000000.000,9168000000.000,10562000000.000,11922000000.000,13800000000.000,15286000000.000,16868000000.000,18391000000.000,20355000000.000,22309000000.000,24395000000.000,26786000000.000,29042000000.000,30848000000.000,32543000000.000,34235000000.000,36249000000.000,37961000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,92000000.000,232000000.000,130000000.000,144000000.000,393000000.000,396000000.000,731000000.000,612000000.000,516000000.000,-413000000.000,-191000000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,-91000000.000,21000000.000,290000000.000,223000000.000,105000000.000,201000000.000,-240000000.000,18000000.000,517000000.000,348000000.000,-175000000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,125000000.000,136000000.000,23000000.000,17000000.000,26000000.000,-65000000.000,8000000.000,-18000000.000,-69000000.000,-169000000.000,-105000000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,126000000.000,389000000.000,443000000.000,384000000.000,524000000.000,532000000.000,499000000.000,612000000.000,964000000.000,-234000000.000,-471000000.000,-306000000.000,-251000000.000,86000000.000,1082000000.000,1963000000.000,2710000000.000,1098000000.000,-345000000.000,-1480000000.000,-1048000000.000,-107000000.000,634000000.000,245000000.000,-422000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,57000000.000,55000000.000,53000000.000,78000000.000,83000000.000,94000000.000,98000000.000,119000000.000,99000000.000,104000000.000,99000000.000,94000000.000,88000000.000,86000000.000,86000000.000,87000000.000,83000000.000,83000000.000,82000000.000,63000000.000,60000000.000,55000000.000,53000000.000,53000000.000,53000000.000
Assets,94904000000.000,106758000000.000,116371000000.000,138681000000.000,150934000000.000,162896000000.000,176064000000.000,196088000000.000,194743000000.000,199856000000.000,207000000000.000,225184000000.000,205989000000.000,222520000000.000,231839000000.000,261894000000.000,261194000000.000,273151000000.000,290479000000.000,293284000000.000,305277000000.000,305602000000.000,321686000000.000,331141000000.000,334532000000.000
AssetsCurrent,46997000000.000,46898000000.000,44988000000.000,54771000000.000,50712000000.000,51943000000.000,57653000000.000,72348000000.000,63337000000.000,68219000000.000,73286000000.000,80347000000.000,70541000000.000,67949000000.000,68531000000.000,83403000000.000,67891000000.000,70953000000.000,89378000000.000,76219000000.000,87592000000.000,93761000000.000,106869000000.000,103332000000.000,101990000000.000
AvailableForSaleSecurities,,,,,,,,,,146620000000.000,146761000000.000,158842000000.000,150589000000.000,164490000000.000,155239000000.000,177955000000.000,193539000000.000,202848000000.000,205666000000.000,215739000000.000,232928000000.000,231520000000.000,237585000000.000,246090000000.000,256841000000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,661000000.000,418000000.000,271000000.000,749000000.000,395000000.000,574000000.000,234000000.000,945000000.000,1977000000.000,2186000000.000,622000000.000,880000000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,287000000.000,511000000.000,1104000000.000,610000000.000,902000000.000,1328000000.000,2315000000.000,1466000000.000,707000000.000,411000000.000,1605000000.000,1168000000.000
