,2016-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,1203928.000
ComprehensiveIncomeNetOfTax,-246632.000
CostOfRevenue,26248.000
DefinedBenefitPlanBenefitsPaid,7334.000
DepreciationDepletionAndAmortization,774.000
EarningsPerShareBasicAndDiluted,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,-2158.000
EffectiveIncomeTaxRateContinuingOperations,0.250
ForeignCurrencyTransactionLossBeforeTax,67798.000
GrossProfit,-301.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,33584.000
IncreaseDecreaseInAccountsPayableRelatedParties,44237.000
IncreaseDecreaseInAccountsReceivableRelatedParties,43992.000
IncreaseDecreaseInInventories,-25690.000
IncreaseDecreaseInOtherReceivables,11657.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-15638.000
IncreaseDecreaseInRestrictedCash,-4246.000
InterestIncomeOther,2230.000
NetCashProvidedByUsedInFinancingActivities,1398589.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1398589.000
NetCashProvidedByUsedInInvestingActivities,-82035.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-82035.000
NetCashProvidedByUsedInOperatingActivities,-110468.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-110468.000
NetIncomeLoss,-244786.000
OperatingExpenses,178994.000
OperatingIncomeLoss,-179295.000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,1846.000
OtherExpenses,23.000
OtherNonoperatingIncomeExpense,-65491.000
PaymentsToAcquireOtherProductiveAssets,536.000
PaymentsToAcquirePropertyPlantAndEquipment,3083.000
PaymentsToFundLongtermLoansToRelatedParties,82662.000
ProceedsFromIssuanceOfPrivatePlacement,22977.000
ProceedsFromRepaymentsOfRelatedPartyDebt,1203603.000
ProceedsFromShortTermDebt,133982.000
ProvisionForDoubtfulAccounts,2346.000
RelatedPartyTransactionPurchasesFromRelatedParty,0.000
RevenueFromRelatedParties,25947.000
SellingGeneralAndAdministrativeExpense,176648.000
StockIssuedDuringPeriodValueOther,22977.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,116215644.000
