,2011-12-31
BankingFeesAndCommissions,199.000
CashPeriodIncreaseDecrease,98.000
EarningsPerShareBasic,-0.010
ForeignCurrencyTransactionGainLossRealized,-3.000
GeneralAndAdministrativeExpense,525.000
IncomeLossFromContinuingOperations,-17724.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-17727.000
IncreaseDecreaseInAccruedLiabilities,5000.000
NetCashProvidedByUsedInFinancingActivities,12825.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,12825.000
NetCashProvidedByUsedInOperatingActivities,-12727.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-12727.000
NetIncomeLoss,-17727.000
OperatingExpenses,17724.000
OtherNonrecurringIncomeExpense,-3.000
ProfessionalFees,17000.000
WeightedAverageBasicSharesOutstandingProForma,1390000.000
