,2012-02-15,2012-05-09,2012-08-29,2012-11-21,2013-02-13,2013-05-08,2013-11-20,2014-02-12,2014-05-07,2014-08-27,2014-11-19,2015-02-11,2015-05-06,2015-08-26,2015-12-16,2016-03-09,2016-06-01,2016-08-31,2016-12-21,2017-03-15,2017-06-07
AccountsAndOtherReceivablesNetCurrent,3865000.000,3355000.000,4000000.000,3362000.000,3722000.000,3273000.000,3821000.000,3625000.000,3971000.000,4112000.000,4802000.000,5317000.000,4220000.000,5175000.000,4949000.000,5389000.000,6142000.000,5919000.000,5665000.000,5389000.000,6380000.000
AccountsPayableCurrent,14812000.000,14412000.000,14849000.000,16675000.000,16339000.000,16421000.000,24653000.000,19515000.000,23606000.000,26269000.000,22422000.000,18861000.000,19183000.000,20173000.000,18912000.000,19089000.000,19677000.000,17539000.000,16883000.000,18311000.000,14741000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,5208000.000,,,,,,,6943000.000,,,,7760000.000,,,,7882000.000,,,
AccruedInsuranceCurrent,,,,,,,,,,1076000.000,,,,1267000.000,,,,1577000.000,,,
AccruedLiabilitiesCurrent,,,20677000.000,,,,,,,23107000.000,,,,23958000.000,,,,23752000.000,,,
AccruedLiabilitiesForUnredeeemedGiftCards,,,3535000.000,,,,,,,4144000.000,,,,5472000.000,,,,6269000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,209186000.000,-210950000.000,-214184000.000,-218989000.000,-222756000.000,224635000.000,228427000.000,233214000.000,234406000.000,236345000.000,141764000.000,148315000.000,151375000.000,127593000.000,130887000.000,136751000.000,141041000.000,143997000.000
AdditionalPaidInCapital,24168000.000,24370000.000,24532000.000,24683000.000,25079000.000,25488000.000,26387000.000,26526000.000,26910000.000,27356000.000,27673000.000,27911000.000,28410000.000,29006000.000,29465000.000,29799000.000,30133000.000,30348000.000,30774000.000,31178000.000,31503000.000
AllowanceForDoubtfulAccountsReceivable,,,678000.000,,,,,,,512000.000,,,,555000.000,,,,81000.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,678000.000,,,,,,,512000.000,,,,555000.000,,,,81000.000,,,
Assets,227483000.000,226643000.000,231017000.000,230256000.000,243942000.000,242275000.000,256367000.000,259922000.000,266329000.000,275435000.000,275911000.000,275949000.000,273970000.000,264258000.000,262612000.000,261528000.000,261772000.000,252225000.000,252248000.000,238101000.000,235215000.000
AssetsCurrent,15156000.000,14361000.000,13766000.000,13371000.000,15951000.000,14638000.000,16313000.000,14839000.000,15802000.000,15910000.000,16540000.000,15908000.000,15812000.000,15148000.000,14939000.000,15104000.000,16539000.000,15542000.000,15797000.000,14620000.000,16304000.000
AssetsHeldForSaleCurrent,,,602000.000,,,,,,,,,,,,,,,,,,
AssetsHeldForSalePropertyPlantAndEquipment,596000.000,596000.000,602000.000,602000.000,602000.000,602000.000,,,991000.000,,,,,,,,,,,,
