,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AmortizationOfDebtDiscountPremium,,222000.000,,
AmortizationOfIntangibleAssets,,,1363.000,432000.000
CapitalLeaseObligationsIncurred,,124000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-80000.000,,
ComprehensiveIncomeNetOfTax,,-5450000.000,-7475000.000,-4322000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,6039000.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-8441000.000,-5522000.000
CostsAndExpenses,,,34207000.000,17021000.000
DepreciationAndAmortization,1415000.000,1258000.000,1124000.000,800000.000
DepreciationDepletionAndAmortization,,1036000.000,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,15731000.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,-72000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,15659000.000
EarningsPerShareBasicAndDiluted,-0.080,-0.530,-0.710,-0.400
EffectOfExchangeRateOnCashAndCashEquivalents,,206000.000,,
ForeignCurrencyTransactionGainLossBeforeTax,1564000.000,27000.000,-164000.000,-249000.000
GainLossOnSaleOfPropertyPlantEquipment,,,152000.000,-68000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-1151000.000,-5773000.000,-8184000.000,-5543000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-791000.000,,,-5568000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.080,,,-0.400
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,-72000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,0.000
IncomeTaxExaminationPenaltiesAndInterestExpense,,,,205000.000
IncomeTaxExpenseBenefit,-360000.000,39000.000,37000.000,25000.000
IncomeTaxesPaid,,138000.000,,
IncreaseDecreaseInAccountsPayable,,278000.000,,
IncreaseDecreaseInAccountsReceivable,,3322000.000,,
IncreaseDecreaseInAccruedLiabilities,,-886000.000,,
IncreaseDecreaseInDeferredCharges,,3998000.000,,
IncreaseDecreaseInDeferredIncomeTaxes,,-427000.000,,
IncreaseDecreaseInDeferredRevenue,,-31000.000,,
IncreaseDecreaseInInventories,,-377000.000,,
IncreaseDecreaseInOtherOperatingAssets,,-12000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,-227000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-380000.000,,
InterestExpense,1182000.000,,,
InterestIncomeExpenseNet,,-2090000.000,-2269000.000,-1097000.000
InterestPaid,,1294000.000,,
NetCashProvidedByUsedInFinancingActivities,,-1643000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-1643000.000,,
NetCashProvidedByUsedInInvestingActivities,,-1414000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-1414000.000,,
NetCashProvidedByUsedInOperatingActivities,,2771000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,2771000.000,,
NetIncomeLoss,-723000.000,-5223000.000,-7255000.000,-4440000.000
NetIncomeLossAttributableToNoncontrollingInterest,-68000.000,-589000.000,-966000.000,-1200000.000
OperatingExpenses,27422000.000,37451000.000,,
OperatingIncomeLoss,-3496000.000,-1904000.000,-5705000.000,-3212000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,-227000.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,-220000.000,118000.000
OtherNonoperatingIncome,315000.000,127000.000,139000.000,-224000.000
PaymentsForCapitalImprovements,,266000.000,,
ProceedsFromIssuanceOfCommonStock,,700000.000,,
ProceedsFromIssuanceOfDebt,,1834000.000,,
ProfitLoss,-791000.000,-5812000.000,-8221000.000,-5640000.000
RepaymentsOfLongTermDebt,,2622000.000,,
Revenues,23926000.000,35547000.000,28502000.000,13809000.000
SalesRevenueNet,23926000.000,35547000.000,28502000.000,13809000.000
SellingGeneralAndAdministrativeExpense,9657000.000,11088000.000,11008000.000,5201000.000
ShareBasedCompensation,,153000.000,,
StockIssuedDuringPeriodValueNewIssues,,700000.000,,
StockIssuedDuringPeriodValueShareBasedCompensation,,153000.000,,
TechnologyServicesCosts,833000.000,975000.000,737000.000,
TechnologyServicesRevenue,1141000.000,1216000.000,1079000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,10522915.000,10975269.000
