,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2016-01-02,2016-04-02
AccountsPayableAndAccruedLiabilitiesCurrent,387414000.000,406632000.000,423635000.000,361556000.000,405896000.000,417667000.000,435638000.000,379444000.000,447630000.000,467230000.000,469386000.000,374551000.000
AccountsPayableCurrent,1194351000.000,1267453000.000,1181452000.000,1379753000.000,1343002000.000,1379875000.000,1159160000.000,1329892000.000,1297602000.000,1314594000.000,1078865000.000,1337599000.000
AccountsReceivableNetCurrent,1232186000.000,1295991000.000,1225719000.000,1320285000.000,1303702000.000,1351798000.000,1252738000.000,1296793000.000,1250017000.000,1308889000.000,1233978000.000,1278110000.000
AccountsReceivableRelatedPartiesCurrent,,,300000.000,,,,,,,,,
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,22526000.000,,,,19224000.000,,,,24299000.000,
AccruedEmployeeBenefitsCurrent,,,20379000.000,,,,20183000.000,,,,22220000.000,
AccruedLiabilitiesCurrent,,,423635000.000,,,,435638000.000,,,,,
AccruedMarketingCostsCurrent,,,63038000.000,,,,65052000.000,,,,73543000.000,
AccumulatedCapitalizedInterestCosts,,,2000000.000,,,,2000000.000,,,,2000000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,995000000.000,1045000000.000,1093459000.000,1144000000.000,1202000000.000,1259000000.000,1312589000.000,1370000000.000,1424000000.000,1476000000.000,1516649000.000,1571000000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,-122963000.000,-984000.000,-1057000.000,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-118125000.000,-114680000.000,-2679000.000,-1695000.000,-638000.000,-810000.000,-158041000.000,-153841000.000,-152903000.000,-89254000.000,-106863000.000,-104230000.000
AdditionalPaidInCapital,2327727000.000,2328221000.000,2325223000.000,2328336000.000,2331021000.000,2333990000.000,2336528000.000,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,2337794000.000,2339394000.000,2340115000.000,2332868000.000,1959662000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,25723000.000,25151000.000,26098000.000,25058000.000,24772000.000,24989000.000,23521000.000,22128000.000,21617000.000,22623000.000,24308000.000
AllowanceForDoubtfulOtherReceivablesCurrent,,3071000.000,2661000.000,2952000.000,3278000.000,2932000.000,2802000.000,3283000.000,2351000.000,,2000000.000,
