,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfFinancingCosts,503000.000,,,,849000.000,,,,1066000.000,,,,551000.000
CapitalExpendituresIncurredButNotYetPaid,4805000.000,,,,111806000.000,,,,1394000.000,,,,244000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,7305000.000,,,,-16433000.000,,,,13269000.000,,,,9095000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,52497000.000,55937000.000,56295000.000,54066000.000,25165000.000,44514000.000,52109000.000,44028000.000,44835000.000,39758000.000,48250000.000,46226000.000,48272000.000
DebtInstrumentBasisSpreadOnVariableRate1,0.050,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,188000.000,,,,14000.000,,,,203000.000,,,,326000.000
Depreciation,5661000.000,5695000.000,5852000.000,5897000.000,6084000.000,12648000.000,15547000.000,15384000.000,15378000.000,15513000.000,15253000.000,15297000.000,15244000.000
DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,10000000.000,,,,,,,,,,,,
DistributionMadeToLimitedPartnerCashDistributionsDeclared,,38640000.000,21709000.000,,0.000,0.000,35669000.000,,5219000.000,0.000,0.000,,20009000.000
DistributionMadeToLimitedPartnerDistributionsDeclaredPerUnit,,0.480,0.260,,,,0.410,,0.060,0.000,0.000,,0.230
EnvironmentalRemediationExpense,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000
GainLossOnDispositionOfAssets,,,,,,-1982000.000,11000.000,,-423000.000,,,,0.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,-423000.000,-26000.000,-4000.000,,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,29421000.000,41403000.000,18882000.000,31306000.000,958000.000,13706000.000,23496000.000,14474000.000,-5974000.000,-15494000.000,-11141000.000,-17138000.000,14210000.000
IncomeTaxExpenseBenefit,414000.000,477000.000,283000.000,390000.000,65000.000,228000.000,353000.000,-33000.000,80000.000,-47000.000,556000.000,217000.000,466000.000
IncomeTaxesPaid,,,,,,,,,0.000,,,,0.000
IncreaseDecreaseInAccountsPayableRelatedParties,1416000.000,,,,637000.000,,,,956000.000,,,,260000.000
IncreaseDecreaseInAccountsPayableTrade,1052000.000,,,,-16868000.000,,,,-7046000.000,,,,-4850000.000
IncreaseDecreaseInAccountsReceivable,-4729000.000,,,,-25874000.000,,,,-6786000.000,,,,10387000.000
IncreaseDecreaseInAccountsReceivableRelatedParties,,,,,,,,,-4171000.000,,,,-505000.000
IncreaseDecreaseInDueFromRelatedPartiesCurrent,-348000.000,,,,-96000.000,,,,300000.000,,,,-160000.000
IncreaseDecreaseInInterestPayableNet,-821000.000,,,,-3390000.000,,,,61000.000,,,,-378000.000
IncreaseDecreaseInInventories,1491000.000,,,,-1684000.000,,,,-1812000.000,,,,1001000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,488000.000,,,,-1327000.000,,,,-2710000.000,,,,180000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-506000.000,,,,-1601000.000,,,,-2036000.000,,,,-648000.000
InterestCostsCapitalized,921000.000,,,,3514000.000,,,,0.000,,,,
