,2011-01-01,2011-04-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28
AdjustmentForAmortization,,,12000000.000,,,,4000000.000,,,,4000000.000,,,
AmortizationOfIntangibleAssets,,,,,,,,,,,-1000000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,1700000.000,2400000.000,600000.000,-4316000.000,3200000.000,3200000.000,3300000.000,-7500000.000,200000.000,3200000.000,,
AssetImpairmentCharges,,,18000000.000,14000000.000,,,,,1000000.000,,,,0.000,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,,,0.000,,
BusinessExitCosts,39000000.000,5000000.000,32000000.000,84000000.000,63000000.000,-98000000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-381000000.000,,,,18000000.000,,,,-224000000.000,,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,20000000.000,,,,-8000000.000,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,-34000000.000,,,,8000000.000,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,14000000.000,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,0.115,0.115,,0.115,0.115,,0.125,0.125,0.125,0.125,0.175,0.175,0.175,0.175
ComprehensiveIncomeNetOfTax,,,,,,,61000000.000,54000000.000,69000000.000,65000000.000,,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,0.000,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-348000000.000,,,,61000000.000,54000000.000,69000000.000,65000000.000,28000000.000,114000000.000,45000000.000,18000000.000
CostOfGoodsAndServicesSold,1552000000.000,1484000000.000,1327000000.000,1385000000.000,1312000000.000,-1063000000.000,705000000.000,728000000.000,652000000.000,673000000.000,719000000.000,757000000.000,674000000.000,770000000.000
DefinedBenefitPlanActuarialGainLoss,,,,,,,,2000000.000,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,115000000.000,,,,,,,,1.000,,,
Depreciation,,,61000000.000,,,,39000000.000,,,,33000000.000,,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,,,,,,,,2000000.000,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,43000000.000,262000000.000,540000000.000,-31000000.000,1000000.000,3000000.000,,60000000.000,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,539000000.000,29000000.000,92000000.000,371000000.000,-60000000.000,2000000.000,2000000.000,,47000000.000,,0.000,0.000,0.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,25000000.000,-8000000.000,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,-1000000.000,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,236000000.000,-10000000.000,-273000000.000,65000000.000,20000000.000,653000000.000,,7000000.000,4000000.000,,0.000,1000000.000,0.000,0.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-211000000.000,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,,,,-23000000.000,,,-3000000.000,-5000000.000,,0.000,1000000.000,0.000,0.000
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,364000000.000,14000000.000,170000000.000,169000000.000,29000000.000,-1000000.000,1000000.000,,13000000.000,,0.000,0.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationRevenue,852000000.000,688000000.000,957000000.000,515000000.000,31000000.000,3726000000.000,,,10000000.000,,,,,
DividendsCommonStockCash,,,,,,,15000000.000,,,,22000000.000,,,
