,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,,,,,,140814.000,140814.000,281625.000,0.000,0.000,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,,,,,,,,,13326.000,,18126.000,24984.000,24984.000,28546.000,30327.000,30327.000,30327.000,30327.000,32617.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,5271760.000,,,,263588.000,263588.000,263588.000,-527176.000,263588.000,263588.000,,,263588.000
CashAndCashEquivalentsPeriodIncreaseDecrease,9666.000,,,,9666.000,,2741.000,,,,-1767814.000,,,,-1420877.000,,,,-514140.000,,,,-394644.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,0.000,,,,,,,,,,,,,,,,
CostOfPropertyRepairsAndMaintenance,,,,,,,,,,,,,,,283576.000,494890.000,355238.000,418347.000,401236.000,399506.000,406475.000,477214.000,515560.000
CostOfServices,2285.000,2140.000,5000.000,-5000.000,2285.000,0.000,,,,,,,,,,,,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,,309891.000,,,,,,,,,,,,,,,,
Depreciation,,,,,,,4200.000,4200.000,4200.000,62200.000,99500.000,103500.000,,,,,,,,,,,
DepreciationAndAmortization,,,,,,,,,,,,,166928.000,,266888.000,286355.000,295344.000,313725.000,325416.000,313508.000,326029.000,369602.000,441725.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,,,,,,,,,,,,,,,246085.000,79021.000,37341.000,13333.000,57864.000,0.000,18265.000,70970.000,0.000
EarningsPerShareBasic,0.001,,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,0.000,0.000,,0.000,-0.000,,,,,,,,,,,,,,-0.040,-0.090,,
EarningsPerShareDiluted,0.001,,,,,,,,,,,,,,,,,,,,,,
FairValueAssumptionsExpectedDividendPayments,,,,,,,0.000,,,,,,,,,,,,,,,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,0.470,,,,,,,,,,,,,,,,
FairValueAssumptionsRiskFreeInterestRate,,,,,,,0.008,,,,,,,,,,,,,,,,
GainLossOnSaleOfProperties,,,,,,,,,,,,,,,,,,,,,,,38973.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,38973.000
GeneralAndAdministrativeExpense,17149.000,11222.000,5260.000,9684.000,17149.000,68708.000,30856.000,73607.000,17060.000,244548.000,440849.000,285411.000,278543.000,293710.000,482283.000,478126.000,419022.000,416413.000,448058.000,453553.000,448123.000,571510.000,701331.000
GrossProfit,26815.000,3860.000,2750.000,9000.000,26815.000,0.000,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,9366.000,-7662.000,-2810.000,-984.000,9366.000,-184885.000,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,-0.030,-0.030,-0.030,0.050,-0.000,-0.000,-0.020,-0.200,-0.090,-0.080,-0.040,-0.050,-0.050,,,,-0.030
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,,,,,,0.000,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,,0.000,0.000,,,0.000,,,,,,,,,,,,,,,,,
IncomeTaxesPaid,,,,,,,0.000,,,,0.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,300.000,,,,300.000,,45844.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,-41129.000,,,,141256.000,,,,-205518.000,,,,-416650.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,-187673.000,,,,0.000,,,,,,,,,,,,
IncreaseDecreaseInDepositOtherAssets,,,,,,,,,,,,,,,3332.000,,,,,,,,
IncreaseDecreaseInDueFromRelatedParties,,,,,,,3820.000,,,,8916.000,,,,36812.000,,,,13659.000,,,,231138.000
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,,,,,,,,,,204212.000,,,,301044.000
IncreaseDecreaseInReserveForCommissionsExpenseAndTaxes,,,,,,,,,,,,,,,-260123.000,,,,0.000,,,,
IncreaseDecreaseInSecurityDeposits,,,,,,,,,,,,,,,67425.000,,,,15441.000,,,,42662.000
InterestExpense,-300.000,-300.000,-300.000,2100.000,300.000,1302.000,166756.000,26359.000,25081.000,-141192.000,0.000,3332.000,50603.000,,140549.000,188026.000,188434.000,226991.000,258157.000,257186.000,260506.000,261506.000,307520.000
