,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
CashPeriodIncreaseDecrease,,4908.000,,,,-48.000,,,,-26378.000,,
DebtInstrumentIncreaseAdditionalBorrowings,,17500.000,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.010,-0.000,-0.010,0.000,-0.010,-0.090,-0.000,0.030,-0.000,-0.000,-0.000
IncomeLossFromContinuingOperations,,-241121.000,-71137.000,-251954.000,-294040.000,-258244.000,-2583520.000,-202787.000,-221979.000,-187741.000,-193731.000,-187959.000
IncreaseDecreaseInAccountsPayable,,-13639.000,,,,10033.000,,,,4864.000,,
IncreaseDecreaseInAccountsPayableRelatedParties,,242168.000,,,,248163.000,,,,61499.000,,
IncreaseDecreaseInDueToRelatedParties,400.000,,,,,,,,,,,
InterestExpense,,,-1198.000,-601.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,17500.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,17500.000,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,-12592.000,,,,-48.000,,,,-26378.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-12592.000,,,,-48.000,,,,-26378.000,,
NetIncomeLoss,,-241121.000,,,,-258244.000,-5163520.000,,,,-193731.000,-187959.000
OperatingExpenses,,-241121.000,-71137.000,-251954.000,-294040.000,-258244.000,-2583520.000,-202787.000,-221979.000,-187741.000,-193731.000,-187959.000
ProfitLoss,,-241121.000,-72335.000,-252555.000,-295191.000,,,-202787.000,,-187741.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,45000000.000,45000000.000,45000000.000,-89777836.000,46888500.000,57839599.000,119438500.000,-137974674.000,119438500.000,121413775.000,121813500.000
WeightedAverageNumberOfSharesOutstandingBasic,32985348.000,,,,,,,,,,,
