,2016-09-30,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,1733000.000
AmortizationOfFinancingCosts,,2591000.000
AmortizationOfIntangibleAssets,,8000.000
ComprehensiveIncomeNetOfTax,53520000.000,
CostOfRealEstateRevenue,1032000.000,541000.000
CostsAndExpenses,65187000.000,78796000.000
DepreciationAndAmortization,35879000.000,34450000.000
EarningsPerShareBasicAndDiluted,,0.390
GainsLossesOnSalesOfInvestmentRealEstate,,3283000.000
GeneralAndAdministrativeExpense,7131000.000,9580000.000
ImpairmentOfRealEstate,21145000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,37100000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,36819000.000
IncomeTaxExpenseBenefit,5173000.000,281000.000
IncomeTaxesPaid,,16714000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,695000.000
IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,,-97000.000
IncreaseDecreaseInIncomeTaxes,,-16544000.000
IncreaseDecreaseInInterestPayableNet,,15234000.000
IncreaseDecreaseInOtherOperatingAssets,,-435000.000
InterestExpense,,34225000.000
InterestPaid,,16277000.000
NetCashProvidedByUsedInContinuingOperations,,88900000.000
NetCashProvidedByUsedInFinancingActivities,,-2575000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-2575000.000
NetCashProvidedByUsedInInvestingActivities,,19221000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,19221000.000
NetCashProvidedByUsedInOperatingActivities,,72254000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,72254000.000
NetIncomeLoss,53520000.000,36795000.000
NetIncomeLossAttributableToNoncontrollingInterest,,24000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,36684000.000
NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,,36708000.000
NonoperatingIncomeExpense,213000.000,3304000.000
OperatingLeasesIncomeStatementLeaseRevenue,123280000.000,112237000.000
OtherNonoperatingIncomeExpense,213000.000,21000.000
PaymentsForLeasingCostsCommissionsAndTenantImprovements,,66000.000
PreferredStockDividendsAndOtherAdjustments,,111000.000
ProceedsFromDivestitureOfBusinesses,,19287000.000
ProceedsFromRepaymentsOfDebt,,-2500000.000
ProceedsFromRepurchaseOfRedeemablePreferredStock,,-75000.000
Revenues,123667000.000,112592000.000
SalesRevenueNet,123667000.000,112592000.000
ShareBasedCompensation,,1733000.000
StraightLineRent,,-146000.000
TenantReimbursements,387000.000,355000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,93594.000
WeightedAverageNumberOfSharesOutstandingBasic,,93594.000
