,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,,-2000000.000,,,,-21000000.000,,,,-37000000.000,,,,-45000000.000,,,,-50000000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,-2000000.000,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,8000000.000,9000000.000,,9000000.000,10000000.000,9000000.000,16000000.000,5000000.000,6000000.000,11000000.000,12000000.000,4000000.000,17000000.000,8000000.000,14000000.000,5000000.000,6000000.000,11000000.000,14000000.000,6000000.000
AmortizationOfAcquiredIntangibleAssets,,,5000000.000,5000000.000,,,6000000.000,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,2000000.000,,,,2000000.000,,,,3000000.000,,,,3000000.000,,,,2000000.000,,,,2000000.000
AmortizationOfIntangibleAssets,,,,,5000000.000,,6000000.000,5000000.000,5000000.000,4000000.000,6000000.000,6000000.000,8000000.000,8000000.000,7000000.000,6000000.000,6000000.000,7000000.000,5000000.000,6000000.000,5000000.000,7000000.000,11000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,700000.000,,,,,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,2000000.000,,,,2000000.000,,,,3000000.000,,,,4000000.000,,,,5000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-364000000.000,,,,-405000000.000,,,,-301000000.000,,,,-86000000.000,,,,-101000000.000,,,,-112000000.000
CommonStockDividendsPerShareDeclared,,,,,,,0.100,0.100,0.100,0.200,0.200,0.200,0.200,0.400,0.400,0.400,0.400,0.500,0.500,0.500,0.500,0.600,0.600
ComprehensiveIncomeNetOfTax,47000000.000,-240000000.000,48000000.000,63000000.000,30000000.000,-359000000.000,46000000.000,185000000.000,87000000.000,648000000.000,96000000.000,106000000.000,99000000.000,-304000000.000,100000000.000,169000000.000,121000000.000,31000000.000,148000000.000,145000000.000,120000000.000,54000000.000,135000000.000
CostOfGoodsSold,1124000000.000,1166000000.000,1152000000.000,1252000000.000,1187000000.000,1236000000.000,1086000000.000,1157000000.000,1123000000.000,1329000000.000,1060000000.000,1131000000.000,1086000000.000,1212000000.000,985000000.000,972000000.000,1164000000.000,1198000000.000,1139000000.000,1043000000.000,1059000000.000,1139000000.000,1070000000.000
CostOfServices,179000000.000,164000000.000,186000000.000,191000000.000,186000000.000,239000000.000,213000000.000,227000000.000,210000000.000,238000000.000,227000000.000,238000000.000,278000000.000,308000000.000,280000000.000,274000000.000,292000000.000,352000000.000,289000000.000,290000000.000,308000000.000,341000000.000,363000000.000
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax,,,,21000000.000,23000000.000,,5000000.000,210000000.000,31000000.000,913000000.000,8000000.000,8000000.000,8000000.000,-582000000.000,22000000.000,22000000.000,21000000.000,-31000000.000,20000000.000,19000000.000,20000000.000,-231000000.000,22000000.000
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeNetGainLossBeforeTax,-11000000.000,-12000000.000,-24000000.000,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanPlanAmendments,,,,,,,30000000.000,-177000000.000,,,,,,,,,,,,,,,
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,,,,,,,,,,,,,99000000.000,,,,167000000.000,,,,294000000.000
Depreciation,,,42000000.000,,,,43000000.000,,,,54000000.000,,,,39000000.000,,,,41000000.000,,,,41000000.000
Dividends,,,,,,,5000000.000,,,,10000000.000,,,,19000000.000,,,,24000000.000,,,,28000000.000
DividendsCommonStockCash,,,,,,,5000000.000,,,,10000000.000,,,,19000000.000,,,,24000000.000,,,,28000000.000
EarlyRepaymentOfSeniorDebt,,,,,,,,,,,,,,,,,4000000.000,,,,,,
EarningsPerShareBasic,0.810,-5.070,0.670,1.010,0.260,1.020,0.880,1.140,1.380,1.850,1.830,2.050,1.970,1.080,1.800,3.220,2.310,1.100,2.890,2.830,2.280,4.240,2.570
EarningsPerShareDiluted,0.800,-5.070,0.670,1.000,0.260,0.980,0.870,1.120,1.360,1.830,1.810,2.040,1.960,1.050,1.790,3.200,2.290,1.080,2.870,2.800,2.270,4.200,2.560
EffectiveIncomeTaxRateContinuingOperations,,,,0.351,0.649,,0.323,0.345,0.303,-0.633,0.318,0.342,0.333,-0.660,0.346,0.361,0.366,-0.712,0.232,0.332,0.318,-0.613,0.190
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,3000000.000,3000000.000,,3000000.000,4000000.000,4000000.000,6000000.000,2000000.000,2000000.000,4000000.000,5000000.000,1000000.000,7000000.000,3000000.000,6000000.000,20000000.000,7000000.000,4000000.000,-17000000.000,26000000.000
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,9000000.000,20000000.000,,5000000.000,7000000.000,27000000.000,3000000.000,,,,,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,344000000.000,359000000.000,,246000000.000,258000000.000,292000000.000,236000000.000,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,3000000.000,,,,2000000.000,,,,13000000.000,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,3000000.000,,,,2000000.000,,,,13000000.000,,,,,,,,
GainLossRelatedToLitigationSettlement,,,,,,,,,,,,,,,,150000000.000,,,,,,,
GeneralAndAdministrativeExpense,169000000.000,153000000.000,150000000.000,176000000.000,164000000.000,249000000.000,170000000.000,185000000.000,186000000.000,198000000.000,150000000.000,170000000.000,189000000.000,217000000.000,150000000.000,173000000.000,150000000.000,196000000.000,137000000.000,151000000.000,147000000.000,188000000.000,129000000.000
GoodwillAcquiredDuringPeriod,,,,,,,,,,,41000000.000,,,,5000000.000,,,,,,,,
GoodwillImpairmentLoss,,300000000.000,,,,,,,,,,,,,,59000000.000,,,,,,,
GoodwillPurchaseAccountingAdjustments,,,,,,,,,,,,,,,1000000.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-220000000.000,50000000.000,77000000.000,37000000.000,77000000.000,65000000.000,87000000.000,99000000.000,143000000.000,132000000.000,152000000.000,144000000.000,79000000.000,133000000.000,244000000.000,175000000.000,80000000.000,177000000.000,199000000.000,157000000.000,251000000.000,147000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,61000000.000,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,,,,4000000.000,7000000.000,,2000000.000,2000000.000,9000000.000,1000000.000,2000000.000,1000000.000,7000000.000,1000000.000,1000000.000,2000000.000,6000000.000,1000000.000,,1000000.000,6000000.000,,2000000.000
IncomeTaxExpenseBenefit,21000000.000,28000000.000,17000000.000,27000000.000,24000000.000,27000000.000,21000000.000,30000000.000,30000000.000,52000000.000,42000000.000,52000000.000,48000000.000,27000000.000,46000000.000,88000000.000,64000000.000,30000000.000,41000000.000,66000000.000,50000000.000,54000000.000,28000000.000
IncomeTaxesPaid,,,4000000.000,,,,13000000.000,,,,30000000.000,,,,26000000.000,,,,39000000.000,,,,4000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-125000000.000,,,,-194000000.000,,,,-197000000.000,,,,39000000.000,,,,-112000000.000,,,,-56000000.000
IncreaseDecreaseInAccountsReceivable,,,243000000.000,,,,294000000.000,,,,162000000.000,,,,189000000.000,,,,12000000.000,,,,43000000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,-17000000.000,,,,-14000000.000,,,,-8000000.000,,,,1000000.000,,,,-15000000.000,,,,-12000000.000
IncreaseDecreaseInInventoryForLongTermContractsOrPrograms,,,,,,,17000000.000,,,,2000000.000,,,,-3000000.000,,,,-2000000.000,,,,20000000.000
IncreaseDecreaseInPensionAndPostretirementObligations,,,-75000000.000,,,,28000000.000,,,,-13000000.000,,,,30000000.000,,,,-21000000.000,,,,-14000000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-2000000.000,,,,,,,,4000000.000,,,,11000000.000,,,,9000000.000,,,,-11000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,600000.000,300000.000,300000.000,-700000.000,300000.000,300000.000,400000.000,-600000.000,400000.000,500000.000,300000.000,-800000.000,100000.000
InsuranceRecoveries,,,,,,,,,,,677500000.000,,,,677500000.000,,,,677500000.000,,,,
InterestExpense,30000000.000,30000000.000,30000000.000,29000000.000,29000000.000,29000000.000,30000000.000,29000000.000,28000000.000,31000000.000,27000000.000,29000000.000,27000000.000,66000000.000,23000000.000,25000000.000,25000000.000,64000000.000,19000000.000,18000000.000,19000000.000,18000000.000,18000000.000
InterestPaid,,,47000000.000,,,,46000000.000,,,,45000000.000,,,,23000000.000,,,,1000000.000,,,,1000000.000
