,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
DebtAndCapitalLeaseObligations,3780000000.000,3945000000.000,3897000000.000,3885000000.000,4153000000.000,3840000000.000,3973000000.000,3969000000.000,4015000000.000,4009000000.000,4013000000.000,4008000000.000,4003000000.000,3685000000.000,3544000000.000,3543000000.000,3544000000.000,3526000000.000,3526000000.000,3166000000.000,3147000000.000,3182000000.000,3120000000.000,3069000000.000,3069000000.000,2961000000.000
DebtCurrent,217000000.000,217000000.000,217000000.000,20000000.000,315000000.000,5000000.000,1000000.000,2000000.000,2000000.000,322000000.000,322000000.000,323000000.000,323000000.000,20000000.000,336000000.000,378000000.000,378000000.000,362000000.000,362000000.000,45000000.000,45000000.000,82000000.000,92000000.000,50000000.000,281000000.000,175000000.000
DebtInstrumentUnamortizedDiscount,10000000.000,10000000.000,9000000.000,9000000.000,8000000.000,8000000.000,8000000.000,8000000.000,60000000.000,58000000.000,56000000.000,54000000.000,52000000.000,49000000.000,46000000.000,45000000.000,42000000.000,40000000.000,37000000.000,5000000.000,4000000.000,3000000.000,40000000.000,38000000.000,36000000.000,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,,,,,,,,,,,,,,,,,,,,,,,,,,34000000.000
DeferredFinanceCostsNet,,,,,,,,,,,,,,,,,,,,,,39000000.000,,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,1399000000.000,,,,1224000000.000,,,,1099000000.000,,,,980000000.000,,
DeferredTaxAssetsDeferredIncome,,,,43000000.000,,,,51000000.000,,,,32000000.000,,,,22000000.000,,,,2000000.000,,,,0.000,,
DeferredTaxAssetsEquityMethodInvestments,,,,,,,,,,,,,,,,57000000.000,,,,259000000.000,,,,211000000.000,,
DeferredTaxAssetsInventory,,,,,,,,,,,,107000000.000,,,,20000000.000,,,,123000000.000,,,,0.000,,
DeferredTaxAssetsLiabilitiesNet,,,,763000000.000,,,,595000000.000,,,,147000000.000,,,,347000000.000,,,,,,,,,,
DeferredTaxAssetsNet,,,,1984000000.000,,,,1775000000.000,,,,1546000000.000,,,,1571000000.000,,,,1085000000.000,,,,958000000.000,,
DeferredTaxAssetsNetCurrent,127000000.000,131000000.000,128000000.000,114000000.000,115000000.000,116000000.000,119000000.000,171000000.000,169000000.000,167000000.000,162000000.000,576000000.000,499000000.000,577000000.000,535000000.000,602000000.000,362000000.000,353000000.000,412000000.000,,,,,,,
DeferredTaxAssetsNetNoncurrent,513000000.000,435000000.000,400000000.000,649000000.000,572000000.000,472000000.000,363000000.000,424000000.000,366000000.000,306000000.000,311000000.000,16000000.000,20000000.000,18000000.000,13000000.000,46000000.000,216000000.000,365000000.000,421000000.000,15000000.000,7000000.000,14000000.000,6000000.000,6000000.000,4000000.000,4000000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,386000000.000,,,,305000000.000,,,,466000000.000,,,,754000000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,,35000000.000,,,,37000000.000,,,,41000000.000,,,,60000000.000,,,,110000000.000,,
DeferredTaxAssetsOtherTaxCarryforwards,,,,58000000.000,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,1000000.000,,,,2000000.000,,,,7000000.000,,,,11000000.000,,,,11000000.000,,,,15000000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,131000000.000,,,,157000000.000,,,,108000000.000,,,,123000000.000,,,,128000000.000,,,,109000000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,727000000.000,,,,637000000.000,,,,713000000.000,,,,16000000.000,,,,16000000.000,,,,51000000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness,,,,64000000.000,,,,66000000.000,,,,69000000.000,,,,75000000.000,,,,77000000.000,,,,85000000.000,,
DeferredTaxAssetsTaxDeferredExpense,,,,71000000.000,,,,89000000.000,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,,1759000000.000,,,,1704000000.000,,,,908000000.000,,,,745000000.000,,,,623000000.000,,,,633000000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,,,,,,88000000.000,,,,47000000.000,,,,33000000.000,,,,5000000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsContingencies,,,,148000000.000,,,,133000000.000,,,,119000000.000,,,,114000000.000,,,,95000000.000,,,,97000000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,,,,,,,808000000.000,1028000000.000,,,1113000000.000,,
DeferredTaxLiabilities,,,,1221000000.000,,,,1180000000.000,,,,,,,,,,,,14000000.000,,,,22000000.000,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,,,,32000000.000,,,,1000000.000,,,,0.000,,,,,,,,,,,,23000000.000,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,,,,,,,,,,,,,,,29000000.000,,,,28000000.000,,
DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates,,,,102000000.000,,,,97000000.000,,,,50000000.000,,,,0.000,,,,,,,,,,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,445000000.000,403000000.000,506000000.000,411000000.000,301000000.000,7000000.000,16000000.000,10000000.000,29000000.000,29000000.000,28000000.000,28000000.000,28000000.000,28000000.000,28000000.000
