,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AmortizationOfFinancingCosts,,,800000.000,800000.000,900000.000
AmortizationOfIntangibleAssets,,,,1300000.000,1100000.000
CapitalExpendituresIncurredButNotYetPaid,,,100000.000,,
CashPeriodIncreaseDecrease,,,1900000.000,,
ComprehensiveIncomeNetOfTax,,,16200000.000,17800000.000,13400000.000
CostOfGoodsAndServicesSold,382900000.000,379800000.000,407100000.000,414400000.000,372800000.000
DeferredIncomeTaxExpenseBenefit,,,200000.000,,
DepreciationAndAmortization,5600000.000,5000000.000,5300000.000,5600000.000,5800000.000
DepreciationDepletionAndAmortization,,,5800000.000,6200000.000,6200000.000
DirectOperatingCosts,45900000.000,44000000.000,51000000.000,51000000.000,49400000.000
GainLossOnSaleOfPropertyPlantEquipment,,100000.000,100000.000,,100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,31500000.000,24800000.000,24000000.000,28000000.000,17900000.000
IncomeTaxExpenseBenefit,11500000.000,8800000.000,7900000.000,10100000.000,4600000.000
IncomeTaxesPaid,,,1100000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,15500000.000,,
IncreaseDecreaseInInventories,,,17100000.000,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,-200000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-3200000.000,,
IncreaseDecreaseInReceivables,,,31900000.000,,
InterestExpense,11900000.000,10400000.000,10300000.000,10300000.000,10200000.000
InterestPaid,,,3200000.000,,
NetCashProvidedByUsedInFinancingActivities,,,29500000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,29500000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-21500000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-21500000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-6100000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-6100000.000,,
NetIncomeLoss,20000000.000,16000000.000,16100000.000,17900000.000,13300000.000
OperatingIncomeLoss,43400000.000,35300000.000,34300000.000,38300000.000,28000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,100000.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-100000.000,100000.000
OtherComprehensiveIncomeLossNetOfTax,,,,-100000.000,100000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,100000.000,,
OtherNonoperatingIncomeExpense,,-100000.000,,,100000.000
PaymentsOfFinancingCosts,,,100000.000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,17000000.000,,
PaymentsToAcquireProductiveAssets,,,4500000.000,4000000.000,4800000.000
ProceedsFromIncomeTaxRefunds,,,200000.000,,
ProceedsFromLinesOfCredit,,,93100000.000,,
ProvisionForDoubtfulAccounts,,,600000.000,,
RepaymentsOfLinesOfCredit,,,63300000.000,,
RepaymentsOfLongTermDebt,,,200000.000,,
Revenues,505600000.000,492300000.000,525300000.000,537100000.000,483700000.000
SalesRevenueNet,505600000.000,492300000.000,525300000.000,537100000.000,483700000.000
SellingGeneralAndAdministrativeExpense,27800000.000,28300000.000,27700000.000,27800000.000,27800000.000
ShareBasedCompensation,,,600000.000,600000.000,600000.000
