,2011-07-01,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2014-03-28,2014-06-27,2015-01-02,2015-04-03,2015-07-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,100000.000,100000.000,-34000000000.000,,100000.000,200000.000,100000.000,100000.000,100000.000,,100000.000,100000.000,100000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,111800.000,111800.000,9400.000,-233000.000,,,,,,,,,,,,
AssetRetirementObligationAccretionExpense,,50000.000,,,,35000.000,,,,,,22000.000,,,,21000.000,,,,16000.000,
AssetRetirementObligationForeignCurrencyTranslation,,,,,,-11000.000,,,,,,-64000.000,,,,-39000.000,,,,,
AssetRetirementObligationForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,-58000.000,
AssetRetirementObligationLiabilitiesIncurred,,,,,,1055000.000,,,,,,,,,,,,,,,
AssetRetirementObligationLiabilitiesSettled,,,,,,3015000.000,,,,,,0.000,,,,,,,,0.000,
AssetRetirementObligationPeriodIncreaseDecrease,,,,,,1022000.000,,,,,,,,,,,,,,,
AssetRetirementObligationRevisionOfEstimate,,0.000,,,,132000.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,0.000,,0.000,,,,,,,,,,,,,,,
BusinessExitCosts,,,,,,371000.000,0.000,,,,,,,,,,,,,,
BusinessExitCosts1,,,,,,,,0.000,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,585000.000,,,,3321000.000,,,,,,-1846000.000,,,,-3551000.000,,,,-1321000.000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,0.000,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,0.000,,,,,
ComprehensiveIncomeNetOfTax,,1765000.000,-1788000.000,-7217000.000,,-1496000.000,-4741000.000,-1174000.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,-4421000.000,-2650000.000,-1668000.000,-7688000.000,-4052000.000,582000.000,-2493000.000,-5287000.000,-2943000.000,-2277000.000,-806000.000,-2220000.000
CostOfRevenue,15913000.000,15634000.000,14558000.000,15642000.000,16986000.000,16421000.000,14859000.000,16141000.000,15589000.000,15711000.000,16132000.000,15290000.000,13962000.000,14361000.000,12196000.000,11854000.000,12659000.000,13232000.000,12418000.000,10588000.000,9630000.000
DeferredIncomeTaxExpenseBenefit,,272000.000,,,,306000.000,,,,,,6000.000,,,,0.000,,,,-7000.000,
DepreciationAndAmortization,,1077000.000,,,,1793000.000,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,,,,1303000.000,,,,708000.000,,,,436000.000,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,,,-2501000.000,0.000,,,0.000,0.000,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,,,,,-482000.000,0.000,,,0.000,0.000,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,,,-0.230,,,0.000,,0.000,,,
EarningsPerShareBasic,0.050,0.140,-0.160,-0.500,-0.370,-0.110,-0.300,-0.080,-0.170,-0.350,-0.210,-0.090,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,-0.600,-0.330,,-0.170,-0.410,-0.210,-0.170,-0.030,-0.180
EarningsPerShareDiluted,0.050,0.140,-0.160,-0.500,-0.370,-0.110,-0.300,-0.080,-0.170,-0.350,-0.210,-0.090,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,22000.000,,,,-123000.000,,,,,,-490000.000,,,,-261000.000,,,,-213000.000,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,,,,,,,,,,,-261000.000,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsDiscontinuedOperations,,,,,,,,,,,,,,,,0.000,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,-0.024,,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-28000.000,-11000.000,-251000.000,255000.000,-250000.000,-54000.000,214000.000,12000.000,-323000.000,-75000.000,24000.000,199000.000,173000.000,-52000.000,20000.000,68000.000,-58000.000,147000.000,58000.000,192000.000,-84000.000
ForeignCurrencyTransactionGainLossUnrealized,,-43000.000,,,,-25000.000,,,,,,229000.000,,,,71000.000,,,,411000.000,
ForeignIncomeTaxExpenseBenefitContinuingOperations,,,,,,,200000.000,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,-7000.000,,,,-55000.000,,,,,,-2000.000,,,,2000.000,,,,-71000.000,
GeneralAndAdministrativeExpense,6901000.000,6889000.000,7468000.000,7652000.000,7358000.000,8327000.000,6667000.000,5043000.000,5492000.000,5571000.000,7086000.000,5324000.000,4991000.000,4420000.000,4294000.000,4614000.000,5044000.000,4750000.000,4494000.000,4122000.000,3880000.000
GrossProfit,17545000.000,19341000.000,14384000.000,17399000.000,15103000.000,16869000.000,12074000.000,12817000.000,12040000.000,9293000.000,12627000.000,11938000.000,8190000.000,8342000.000,10605000.000,8277000.000,6029000.000,7841000.000,9277000.000,7964000.000,6441000.000
IncomeLossFromContinuingOperations,,,,,,,,,,,,,-4878000.000,-4303000.000,,-2279000.000,-5371000.000,-2830000.000,-2216000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,987000.000,2867000.000,-3705000.000,-1816000.000,-4367000.000,-1383000.000,-3629000.000,-956000.000,-2307000.000,-4359000.000,-2670000.000,-990000.000,-4826000.000,-4081000.000,556000.000,-2194000.000,-5312000.000,-2779000.000,-1989000.000,-303000.000,-2173000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,,,-0.370,-0.330,,-0.170,-0.410,-0.210,-0.170,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,,,-2983000.000,0.000,,0.000,0.000,0.000,0.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,,,-0.230,0.000,,0.000,0.000,0.000,0.000,,
IncomeTaxExpenseBenefit,342000.000,1032000.000,-1586000.000,4962000.000,482000.000,33000.000,386000.000,123000.000,-98000.000,244000.000,76000.000,161000.000,52000.000,222000.000,32000.000,85000.000,59000.000,51000.000,227000.000,76000.000,176000.000
IncreaseDecreaseInAccountsPayable,,-80000.000,,,,-735000.000,,,,,,135000.000,,,,-1860000.000,,,,-493000.000,
IncreaseDecreaseInAccountsReceivable,,-2800000.000,,,,-986000.000,,,,,,-3404000.000,,,,-2123000.000,,,,-1998000.000,
IncreaseDecreaseInAssetRetirementObligations,,,,,,-3015000.000,,,,,,,,,,-377000.000,,,,,
IncreaseDecreaseInDeferredRevenue,,-2883000.000,,,,-2045000.000,,,,,,-1933000.000,,,,-15000.000,,,,-1970000.000,
IncreaseDecreaseInIncomeTaxesReceivable,,-389000.000,,,,490000.000,,,,,,-61000.000,,,,-79000.000,,,,-4000.000,
IncreaseDecreaseInOtherAccruedLiabilities,,-701000.000,,,,-189000.000,,,,,,-486000.000,,,,,,,,11000.000,
