,2014-02-28,2014-05-31
CostOfGoodsAndServicesSold,19027.000,
Depreciation,8654.000,4583.000
EarningsPerShareBasicAndDiluted,-0.010,-0.000
GeneralAndAdministrativeExpense,197627.000,170462.000
GrossProfit,,610.000
NetIncomeLoss,229100.000,-185154.000
NetInvestmentIncome,6811.000,
OperatingExpenses,235911.000,182764.000
OperatingIncomeLoss,-229100.000,-185154.000
OtherCostAndExpenseOperating,28946.000,10736.000
OtherExtraordinaryGainLoss,25838.000,
ResearchAndDevelopmentExpense,684.000,343.000
Revenues,,610.000
SalesRevenueNet,,610.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,45078284.000,46627197.000
