,2011-09-30
CostOfRevenue,21000.000
EarningsPerShareBasicAndDiluted,-0.130
GainLossOnDerivativeInstrumentsNetPretax,903000.000
GrossProfit,33000.000
InterestExpense,5301000.000
NetIncomeLoss,-6369000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-6723000.000
OperatingExpenses,7305000.000
OperatingIncomeLoss,-7272000.000
OperatingLeasesIncomeStatementLeaseRevenue,6000.000
PreferredStockDividendsAndOtherAdjustments,354000.000
RedeemablePreferredStockDividends,105000.000
ResearchAndDevelopmentExpense,167000.000
Revenues,54000.000
SalesRevenueNet,48000.000
SellingGeneralAndAdministrativeExpense,1837000.000
UnrealizedGainLossOnDerivatives,888000.000
