,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28
EffectiveIncomeTaxRateContinuingOperations,0.291,0.294,0.290,-0.585,0.277,0.276,0.267,-0.543,,0.261,0.283,,0.287,0.283,0.340
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,,,208000.000,276000.000
LongTermPurchaseCommitmentAmount,,,,,,,,,,,,,115800000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,,54000.000,,,,41000.000,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.015,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriod,16500.000,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,9000.000,,,,,,,,,,,,,,
StockRepurchasedDuringPeriodShares,,61000.000,,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,168015000.000,163961000.000,160063000.000,-329442000.000,157490000.000,155995000.000,155067000.000,-312876000.000,153548000.000,152637000.000,150864000.000,-306427000.000,138551000.000,134367000.000,132934000.000
WeightedAverageNumberOfSharesOutstandingBasic,167662000.000,163448000.000,159584000.000,-328549000.000,156993000.000,155351000.000,154478000.000,-311662000.000,153091000.000,152083000.000,150342000.000,-305361000.000,138115000.000,133899000.000,132439000.000
